from,to,distance
BusStopMRTHuaLamphong(Exit3),SaphanLueang,242.43570738281736
SaphanLueang,Chulalongkorn9,299.7342335254521
Chulalongkorn9,Chulalongkorn11,287.68509206424477
Chulalongkorn11,SamYanIntersection,218.18990122551403
SamYanIntersection,Chulalongkorn(Law/CommunicationArts),273.48804904294343
Chulalongkorn(Law/CommunicationArts),Chulalongkorn(FacultyOfEducation),251.8198736210933
Chulalongkorn(FacultyOfEducation),Chulalongkorn(ChamchuriArtGallery),287.2943222366829
Chulalongkorn(ChamchuriArtGallery),SiamCenter,238.0464837977491
SiamCenter,WatPathumWanaram,280.4213115116581
WatPathumWanaram,LangSuanBusStopBTSChitLom,266.06108306903985
LangSuanBusStopBTSChitLom,CentralChidlom,242.8941120146361
CentralChidlom,SoiNaiLaertBusStopBTSPloenChit,213.25789633188188
SoiNaiLaertBusStopBTSPloenChit,SoiNana,318.46949785819623
SoiNana,PacificFellBuildingSoiSukhumvit7,253.2775575761349
PacificFellBuildingSoiSukhumvit7,SukhumvitSoi15,311.7630026219176
SukhumvitSoi15,Sukhumvit19Robinson,241.44422662032554
Sukhumvit19Robinson,SukhumvitSoi23,243.10280676762028
SukhumvitSoi23,Sukhumvit27SainamphuengSoi22,253.13741462099776
Sukhumvit27SainamphuengSoi22,SoiSukhumvit31,235.9886004324742
SoiSukhumvit31,Suanbenjasiri,287.26947905680214
Suanbenjasiri,Emquartier,225.51216269690852
Emquartier,SukhumvitSoi41,312.7518055901627
SukhumvitSoi41,SukhumvitSoi47,260.38731783841814
SukhumvitSoi47,Sukhumvit49(Soi49),296.1999789337296
Sukhumvit49(Soi49),SoiSukhumvit34,228.61259581813835
SoiSukhumvit34,BusStopBTSThonglo(Exit1),307.80077687127766
BusStopBTSThonglo(Exit1),SukhumvitSoi57,299.8655639262525
SukhumvitSoi57,SoiSukhumvit40(Unesco),273.35006401626805
SoiSukhumvit40(Unesco),MajorEkamai,288.80127048759795
MajorEkamai,WatThatthong,299.47017877202717
WatThatthong,PaiRongrianSiWiKonSoiSukhumvit65/1,219.0232637273497
PaiRongrianSiWiKonSoiSukhumvit65/1,BusStopBTSPhraKhanong(Exit3),299.0867848226669
