from,to,distance
BusStopBTSKrungthonburi(Exit3),KrungthonburiJunctionTowardsRiver,459.24679761894805
KrungthonburiJunctionTowardsRiver,WatSuwan,378.1227286180383
WatSuwan,OppositeKlongsanMarket,378.3495467516742
OppositeKlongsanMarket,Latya14,339.0454499319103
Latya14,LatyaJunction(Inbound),328.8538619179121
LatyaJunction(Inbound),Latya8,399.8168812294036
Latya8,KrungdebCo-OperativeLatya,426.4572114246769
KrungdebCo-OperativeLatya,OppositeRobinsonLatya,471.0941326458348
OppositeRobinsonLatya,WongWianYai(ThonburiSuksa),380.1394600418363
WongWianYai(ThonburiSuksa),YaekBanKhaek(Inbd),383.14760155732836
YaekBanKhaek(Inbd),SuksanariSchool,338.32632004600475
SuksanariSchool,SaphanPhut,379.90286291283047
SaphanPhut,PakKlongTalad,420.3967244811032
PakKlongTalad,PhraPhiphit,465.5018304112874
PhraPhiphit,BanMo,333.4361922453656
BanMo,WatSuthatWijitpanich,462.8166633028436
WatSuthatWijitpanich,OppositeSalaWaKanKrungthepmahanakhon,443.08078470446367
OppositeSalaWaKanKrungthepmahanakhon,DemocracyMonument(OppositeSuksapan),371.33881874109323
DemocracyMonument(OppositeSuksapan),KhokWuaIntersectionOppositeLottery,383.26285758785923
KhokWuaIntersectionOppositeLottery,OppositeKongSalak,355.4371660898006
OppositeKongSalak,NationalTheatre,328.2270047831899
NationalTheatre,PhraAthit,399.1882340169895
PhraAthit,OppositeBanPhraAthit,394.82941941571573
OppositeBanPhraAthit,BanglumphuIntersection1,458.9763977099834
BanglumphuIntersection1,PhranakhonDistrictOffice,404.38085221546095
PhranakhonDistrictOffice,WatSampraya,371.6580195301633
WatSampraya,TheBankOfThailand,476.2527439494765
TheBankOfThailand,RmutpThewet,407.8793049081068
RmutpThewet,NationalLibrary,397.69137945393123
NationalLibrary,WatRachadhiwasViharn,441.51810473263004
WatRachadhiwasViharn,SaintGabrielCollege,433.35854448604823
SaintGabrielCollege,VajiraHospital,405.9754218869224
VajiraHospital,SiYanRongrianAChiwaSinlapaSueksa,337.4143387116027
SiYanRongrianAChiwaSinlapaSueksa,KromchonlaprathanSiYan,366.8125607618002
KromchonlaprathanSiYan,MakroBangKraBue(Sp25),362.11859020261727
MakroBangKraBue(Sp25),4ThCavalryDivisionKing'SGuard,454.8088423859097
4ThCavalryDivisionKing'SGuard,SathaniWitthayuYanKro,385.63556503762265
SathaniWitthayuYanKro,Pot-O,362.41399966752283
Pot-O,MoPhan3,375.8739262833778
MoPhan3,KromkankhonsongThangBok,363.61144279416203
KromkankhonsongThangBok,ThahanSuesan,344.5246940314101
ThahanSuesan,TheTechnical,356.59185788477026
TheTechnical,ArtilleryRegiment1,466.2360190272354
ArtilleryRegiment1,PradiphatSoi1,380.6071814063486
PradiphatSoi1,PradiphatIntersection(PostOffice),443.66041161956076
PradiphatIntersection(PostOffice),TrongChamSamnaknganLekhathikan,337.7187999580282
TrongChamSamnaknganLekhathikan,KarnmaneePalaceHotel,492.53120818006664
KarnmaneePalaceHotel,PraDiPhatSoi21,454.9481983744455
PraDiPhatSoi21,BusStopBTSSaphanKhwai(Exit1),403.081785885182
BusStopBTSSaphanKhwai(Exit1),WatPhaiton,405.12678095747805
WatPhaiton,BusStopBTSMoChit(Exit3),338.04611106647
BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,447.80207384314275
OppositeTmbHeadquarterBank,ChatuchakPark(ViphavadiSide),435.23179292883833
ChatuchakPark(ViphavadiSide),PttHeadquarter,463.5179392748571
PttHeadquarter,TourProperties,473.53006136889644
TourProperties,BorisatTriPhetThatCharinWitthayaBangKhen,361.24621104259603
BorisatTriPhetThatCharinWitthayaBangKhen,NakhonchaiAir,417.7269780115239
NakhonchaiAir,BangchakPetroleumKamphaengphet2,449.4111422844284
BangchakPetroleumKamphaengphet2,NikhomRotfaiKm.11,294.2040040743028
NikhomRotfaiKm.11,Mochit2BusDepot,407.85816358696735
