from,to,distance
MinburiBusDepot,Chatuchak2MarketMinburi,407.96084637579156
Chatuchak2MarketMinburi,Navamin9Hospital,383.93313537169325
Navamin9Hospital,MinBuriIntersection(OppositeSoiTakhian),468.15628532707336
MinBuriIntersection(OppositeSoiTakhian),OppositeSetthabutBamphenSchool,390.06204882398083
OppositeSetthabutBamphenSchool,Ramintra86,317.7293513147685
Ramintra86,MomchaoSangangam,458.4741382773376
MomchaoSangangam,OppositeRamintra115,388.8632951432393
OppositeRamintra115,OppositePhrayaSuren,439.92046669685794
OppositePhrayaSuren,MubanRangsiYa,388.52400076132534
MubanRangsiYa,TechnoThaiSuriya,401.6145699568077
TechnoThaiSuriya,OppositeNoppositeharatHospital,457.74313852032674
OppositeNoppositeharatHospital,RamIntraRoadSoi66,429.40267804690876
RamIntraRoadSoi66,ThanakhanThaiphanitRamInThra,369.325330076353
ThanakhanThaiphanitRamInThra,OppositeFashionIsland,366.6860446824823
OppositeFashionIsland,UmnuayPhesaj,435.55933278235864
UmnuayPhesaj,SoiChuenKamon,465.60015229111
SoiChuenKamon,SynphaetHospital,335.92443390729414
SynphaetHospital,SoiRamInThra46,399.1435300507856
SoiRamInThra46,OppositeSoiRamintra69,431.81444003138887
OppositeSoiRamintra69,Komo7RamInThra42/3,432.5957848212731
Komo7RamInThra42/3,SoiNuanchan,333.26858273975614
SoiNuanchan,RongrianSaiAksonKomo6,388.45715608036824
RongrianSaiAksonKomo6,OppositeMubanSawatdikanThahanBok,345.3317492239839
OppositeMubanSawatdikanThahanBok,WatcharaPhon,318.6618621237473
WatcharaPhon,OppositeKongBinTamruat,458.1069035149563
OppositeKongBinTamruat,SoiMaiyalap,315.41591194069105
SoiMaiyalap,OppositeTaladKomo4,460.19478837482757
OppositeTaladKomo4,OppositeMubanKaoli,421.8191804972212
OppositeMubanKaoli,BigCRamintra,367.1847088705681
BigCRamintra,LatPlakhaoJunction(RamintraCenter),319.80062249286374
LatPlakhaoJunction(RamintraCenter),LumpineeBoxingStadiumRamintra,380.64366912101974
LumpineeBoxingStadiumRamintra,RtaSportsCenter,467.655168666944
RtaSportsCenter,SanamKopThobo,362.8216721503549
SanamKopThobo,OppositeCentralRamintra,432.51766102099265
OppositeCentralRamintra,OppositeKrirkUniversity,457.4527163381057
OppositeKrirkUniversity,ElectricityKhen11ThInfantryRegiment(Gate1),436.998921466376
ElectricityKhen11ThInfantryRegiment(Gate1),OppositeBangkhenBusDepot,400.7808477795051
OppositeBangkhenBusDepot,OppositePhahonyothin51,416.4517602303981
OppositePhahonyothin51,11ThInfantryRegiment(Gate2),346.24869864094296
11ThInfantryRegiment(Gate2),11ThInfantryRegiment(Gate3),423.3429439370865
11ThInfantryRegiment(Gate3),WatBangbua,405.11706830922213
WatBangbua,SripatumUniversity,311.89591119790805
SripatumUniversity,SarawittayaSchool,457.65162836592543
SarawittayaSchool,RtaChemicalDept.,390.9234237622537
RtaChemicalDept.,MaruayHotel,362.49610733428534
MaruayHotel,BaacHeadquarter,420.59798948065367
BaacHeadquarter,OppositeKasetsartU(PhahonyothinSide),315.0247941517222
OppositeKasetsartU(PhahonyothinSide),KasetIntersection(Phahonyothin34/2),366.71112569105844
KasetIntersection(Phahonyothin34/2),MayoHospital,330.5421330320007
MayoHospital,OppositeThaivichitsilpArtSchool,455.05416332625504
OppositeThaivichitsilpArtSchool,MajorRatchayothin,422.8146439512912
MajorRatchayothin,ElephantBuilding,352.2349066408368
ElephantBuilding,SatriWoranatBangkhenSchool,385.6554967828202
SatriWoranatBangkhenSchool,CrimeSuppressionDivision,339.5529001076052
CrimeSuppressionDivision,TescoLotusLatphrao,451.8760061517697
TescoLotusLatphrao,OppositeCentralLadprao,435.2547688107764
OppositeCentralLadprao,TmbHeadquarter,410.817004992888
TmbHeadquarter,OppositeChatuchakPark,409.0250311297503
OppositeChatuchakPark,DepartmentOfLandTransport,387.9403048239135
DepartmentOfLandTransport,Phahonyothin18,350.8899762977151
Phahonyothin18,OppositeWatPhaiton,433.0073372834648
OppositeWatPhaiton,BusStopBTSSaphanKhwai(Exit2),370.03293617501106
BusStopBTSSaphanKhwai(Exit2),BangsuePoliceStation,353.17460833013445
BangsuePoliceStation,SaiLom(Phahonyothin8),379.5751049495253
SaiLom(Phahonyothin8),BusStopBTSAri(Exit4),311.75084771342546
BusStopBTSAri(Exit4),Ratchakhru(OppositePhahonyothin5),426.28378677752164
Ratchakhru(OppositePhahonyothin5),Kanchanakom(Phahonyothin2),358.1238388684062
Kanchanakom(Phahonyothin2),BusStopBTSSanampao(Exit4),418.7819962336777
BusStopBTSSanampao(Exit4),Channel5,352.3200342010538
Channel5,LueCha(OppositePhahonyothin1),335.7994067029075
LueCha(OppositePhahonyothin1),VictoryMonument(PhahonYothinSide),421.55835988651774
