from,to,distance
SanamYingPuenNuaiBanchakanRaksaDindaen,KrasuangMahatthai,355.7813551836303
KrasuangMahatthai,OppositeSalaWaKanKrungthepmahanakhon,381.4895270832844
OppositeSalaWaKanKrungthepmahanakhon,SatriwittayaSchool,372.52265565276866
SatriwittayaSchool,WatBawon,311.4754432829526
WatBawon,WatChanasongkram,425.5643565624984
WatChanasongkram,KongSalak,404.4814010610884
KongSalak,DemocracyMonument(Suksapan),401.85281063643936
DemocracyMonument(Suksapan),OppositeThaiAirwaysBuilding,376.802408571316
OppositeThaiAirwaysBuilding,WatKhaeNangLoeng,331.5448824006145
WatKhaeNangLoeng,NationalEconomicAndSocialDevelopmentBoard,450.1512137769035
NationalEconomicAndSocialDevelopmentBoard,OppositeMissionHospitalLanLuangRoad,359.5636141724485
OppositeMissionHospitalLanLuangRoad,MoRatchaphatWalaiYoLongKonSunKrungthep,394.1675301149539
MoRatchaphatWalaiYoLongKonSunKrungthep,OppositeBangkokBusinessCollege,411.1073612051495
OppositeBangkokBusinessCollege,OppositePantipPratunam,417.12777555273965
OppositePantipPratunam,PhetRama,311.0534014849591
PhetRama,MetroMallPratunam,435.57725019564305
MetroMallPratunam,OppositeWatMakkasan,437.6295369797743
OppositeWatMakkasan,NikhomMakkasan(PhetchaburiRoadOutbound),353.3631920160632
NikhomMakkasan(PhetchaburiRoadOutbound),TheRoofThanapoom,355.79346772945536
TheRoofThanapoom,OppositeRongrianSenDoMiNik,442.34664106552844
OppositeRongrianSenDoMiNik,OppositeMahawitthayalaiMosowoPrasanMit,435.20128067207224
OppositeMahawitthayalaiMosowoPrasanMit,SukiRueanPhet,320.3249942867986
SukiRueanPhet,ItalianCompanies-Thailand,349.1499995197256
ItalianCompanies-Thailand,OppositeWatMaiChongLom(ItalthaiIndustrialCo.Ltd.(HeadOffice)),444.14591272652973
OppositeWatMaiChongLom(ItalthaiIndustrialCo.Ltd.(HeadOffice)),PhetchaburiSoi47,363.0268180212267
PhetchaburiSoi47,ChanItSaThaoWoe2PhetchaburiTatMai,385.48643449966033
ChanItSaThaoWoe2PhetchaburiTatMai,ThongLoNueaIntersection(Outbound),424.0878169304495
