from,to,distance
VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),564.8642467856722
LueCha(Phahonyothin1),Phyathai2Hospital,493.5523209108218
Phyathai2Hospital,BusStopBTSSanampao(Exit1),511.7664809073985
BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),653.6858791360359
BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),611.2581820393859
Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),626.6144053061964
BusStopBTSAri(Exit3),BorderPatrolPolice,575.2020934059923
BorderPatrolPolice,SenaRuam(Phahonyothin11),500.64489660086844
SenaRuam(Phahonyothin11),BusStopBTSSaphanKhwai(Exit1),706.7754280014046
BusStopBTSSaphanKhwai(Exit1),WatPhaiton,523.7955507572747
WatPhaiton,BusStopBTSMoChit(Exit3),603.663398784928
BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,541.1463274335657
OppositeTmbHeadquarterBank,ChatuchakPark(ViphavadiSide),719.2969044816775
ChatuchakPark(ViphavadiSide),PttHeadquarter,721.5660108775437
PttHeadquarter,TourProperties,508.53549251417417
TourProperties,BorisatTriPhetThatCharinWitthayaBangKhen,554.8043166332191
BorisatTriPhetThatCharinWitthayaBangKhen,OppositeSamnakNgonKhetChatuchak,541.1329762990315
OppositeSamnakNgonKhetChatuchak,HeadquartersPolice191,735.257448356635
HeadquartersPolice191,WatSamianNari,655.9452268501526
WatSamianNari,TheSeparationOfAgriculture,682.3328062388347
TheSeparationOfAgriculture,WatThawaSunthon,680.9523667592944
WatThawaSunthon,OppositeDailynewsNewspaper,555.9366343826925
OppositeDailynewsNewspaper,PoliceStationTalatOppositePoliceClub,593.6547286808814
PoliceStationTalatOppositePoliceClub,OppositePathaiudomSchoolMiracleGrand,494.04133533105676
OppositePathaiudomSchoolMiracleGrand,ChulabhornResearchInstitute,573.1374423072449
ChulabhornResearchInstitute,LaksiTrainStation,632.1101631947982
LaksiTrainStation,ItSquare,675.7124410448697
ItSquare,WatLaksi,696.447264758658
WatLaksi,TungsonghongHousing,650.9100919621311
TungsonghongHousing,OilCargo,638.3121898806652
OilCargo,DonMuangDistrictOffice,510.43466003052794
DonMuangDistrictOffice,DonMueangNewMarket,694.8561109586758
DonMueangNewMarket,WatDonMueang,668.7506832550556
WatDonMueang,FaiChangDonMueang,593.4186136696177
FaiChangDonMueang,DonmuangThaharnagardbumroongSchoolPoliceStationDonmuang,670.3925100922116
DonmuangThaharnagardbumroongSchoolPoliceStationDonmuang,ThaninthonVillageWiphawadiRangSit35,680.2814169740763
ThaninthonVillageWiphawadiRangSit35,MubanYuCharoen,620.9743524884802
MubanYuCharoen,WipawadeeRangsit39YingohranVillage,581.7509125580289
WipawadeeRangsit39YingohranVillage,PaholyothinSchool,565.1048707464204
PaholyothinSchool,WangthongHouse,569.1036424968494
WangthongHouse,RongrianSangkhit,588.3248774089487
RongrianSangkhit,BigCOppositeZeerRangsit,676.2876607219057
BigCOppositeZeerRangsit,SrimummuangMarket,710.7630061620268
SrimummuangMarket,WatPrayoonSivaleeVillage,606.4924301398378
WatPrayoonSivaleeVillage,RangsitUniversity,478.4940978772423
RangsitUniversity,MakroRangsit,678.2732356938158
MakroRangsit,FutureRangsit,676.4314520404502
FutureRangsit,HoYa,627.3767694465206
HoYa,OppositeBorisatThaiBoriSaton,606.1532747918241
OppositeBorisatThaiBoriSaton,SathaniKhonsongPhudoisanRangSit,546.0991222154997
SathaniKhonsongPhudoisanRangSit,SoiPrathanPhonOppositeRongnganKasap,691.5352351112233
SoiPrathanPhonOppositeRongnganKasap,OppositeBorisatSamatWisawakamChamkat,551.2876804375888
OppositeBorisatSamatWisawakamChamkat,SoiHongSakul,546.5955095838667
SoiHongSakul,KaewNimith,692.7504384372103
KaewNimith,BangkokRangsitUniversity,672.009782826515
BangkokRangsitUniversity,PattaraHospital,651.6644250327076
PattaraHospital,Rattana,514.0879962477408
Rattana,ThaiFreeman,479.90596140402323
ThaiFreeman,Bangkhan(Outbound),561.8896865753221
Bangkhan(Outbound),ThamassatUniversityRangsitCampus,637.7275132687158
ThamassatUniversityRangsitCampus,ThammasatBusDepot,409.56088700319424
