from,to,distance
RatchaWoraditPier,ThaChang,377.72479637694806
ThaChang,Sanamluang(OppositeWatPhraKaew),513.8922165260143
Sanamluang(OppositeWatPhraKaew),Sanamluang(OppositeSupremeCourt)Stop.2,408.9252212242598
Sanamluang(OppositeSupremeCourt)Stop.2,PhraPinklaoBridge(Outbound),488.2145104903895
PhraPinklaoBridge(Outbound),ArunAmmrin28,520.6160498689654
ArunAmmrin28,FlotillaNavalTransportationDepartment,459.92194449261774
FlotillaNavalTransportationDepartment,SirirajHospital,400.79807772975045
SirirajHospital,SoiBanChangLo,493.8468411455118
SoiBanChangLo,SoiWattana,443.31153544327185
SoiWattana,PhranNokIntersection,373.77442126326747
PhranNokIntersection,SoiWatYang,459.69006750398654
SoiWatYang,ThePawnShop6(FaiChaiJunction),367.90343167802394
ThePawnShop6(FaiChaiJunction),AcrossFromNakhonLuangShoppositeing,430.8293678692559
AcrossFromNakhonLuangShoppositeing,WatAmpawa,415.6709047299853
WatAmpawa,MetropolitanElectricityAuthorityThonBuriDistrict,496.07089243953396
MetropolitanElectricityAuthorityThonBuriDistrict,WatPoreang,454.04472259277117
WatPoreang,NangLoiMarket,365.6999397737842
NangLoiMarket,SiamTechnologyCollege(SiamTech),429.81047887691597
SiamTechnologyCollege(SiamTech),WatThaPhra,424.85847288823595
WatThaPhra,WatPraduNaiSongtham,517.344165414566
WatPraduNaiSongtham,OppositeViboonCollege,378.7393668721973
OppositeViboonCollege,WatNuannoradit,460.241566735523
WatNuannoradit,Phyathai3Hospital,413.0343938791408
Phyathai3Hospital,SermitPhetkasemSoi25/1,530.8161768253285
SermitPhetkasemSoi25/1,BusStopBTSBangwa(Exit4),443.6623690979142
BusStopBTSBangwa(Exit4),OppositeSiamUniversity,420.7994498246453
OppositeSiamUniversity,Phetkasem27/1,370.05655539436424
Phetkasem27/1,OppositePhetkasem42,443.30381527128304
OppositePhetkasem42,OppositeKhundanChaoporsuaShrine,427.6509807661443
OppositeKhundanChaoporsuaShrine,OppositeWatChanpradittharam,413.7197756474163
OppositeWatChanpradittharam,Kan-AriSportClub,483.0289383089249
Kan-AriSportClub,WatRangbua,474.9602165831355
WatRangbua,RedCrossStation11(Wisetniyom),373.035622582511
RedCrossStation11(Wisetniyom),SeaconBangkae,447.06454548007633
SeaconBangkae,Phetkasem39,446.77850777257515
Phetkasem39,BangkaeHomeFoundation,432.5696768493515
BangkaeHomeFoundation,BangkaeMarket,530.3802109172434
BangkaeMarket,OppositeTescoLotusBangkae,439.3622964830964
OppositeTescoLotusBangkae,NanyangIndustrial,436.21854738671624
NanyangIndustrial,CastlePeakCompany,498.19931867341666
CastlePeakCompany,Phetkasem45/1,445.65408499771536
Phetkasem45/1,OppositeTheMallBangkae,385.04842062205523
OppositeTheMallBangkae,Phetkasem51,469.20939580044217
Phetkasem51,OppositeKasemradBangkaeHospital,406.9817423684618
OppositeKasemradBangkaeHospital,Phetkasem-Sai2Junction(Outbd),438.46777858320604
Phetkasem-Sai2Junction(Outbd),AmnuaysilpaDhonburiSchool,416.08740327383885
AmnuaysilpaDhonburiSchool,WatMuang,427.0011224571413
WatMuang,LaksongNiwetVillage,384.8449540885187
LaksongNiwetVillage,SamnakPoosawan,409.0701840896355
SamnakPoosawan,BigcPhetkasem(Laksong),549.1016069285329
BigcPhetkasem(Laksong),SoiPhetkasem67,538.9523746640369
SoiPhetkasem67,OppositeScbSoiMubanSetthakit,495.95290314378
OppositeScbSoiMubanSetthakit,Setthakit3,373.73249155537536
Setthakit3,Setthakit19,412.0582442710297
Setthakit19,MubanSetthakitSoi25,542.4370946059197
MubanSetthakitSoi25,Setthakit33,529.2695466359011
Setthakit33,Setthakit39,396.78882071731476
Setthakit39,EconomyMansion(Outbound),357.0199804175404
EconomyMansion(Outbound),SinsupNakhon2Village,528.9471831916194
SinsupNakhon2Village,OppositeSetthakitSoi56,425.6091032028822
OppositeSetthakitSoi56,Bunjongsup,431.800210727321
Bunjongsup,Assumption11,453.07077752874295
Assumption11,AssumptionCollegeThonburi,432.4793554173187
