from,to,distance
PhutthamonthonSai2BusDepot,PhutthamonthonSai2Soi12(Outbound),382.2699762742663
PhutthamonthonSai2Soi12(Outbound),SoiSukhaphibanBangKhae,460.1214306609611
SoiSukhaphibanBangKhae,Sai2Market,425.2925982487833
Sai2Market,PhuttaraksaVillage,357.26802441571203
PhuttaraksaVillage,OppositePhetkasem2Village,473.1111657378009
OppositePhetkasem2Village,KasemradBangkaeHospital,410.29577471467195
KasemradBangkaeHospital,HealthCenter40,506.43476189922677
HealthCenter40,Phetkasem88,362.8871449299372
Phetkasem88,TheMallBangkae,486.61960645540057
TheMallBangkae,Sukpawan3Village,343.8213639444828
Sukpawan3Village,BangkhaenuaeSchool,429.28926031137655
BangkhaenuaeSchool,PasanusornBangkaeSchool,353.5450670571553
PasanusornBangkaeSchool,TescoLotusBangkae,452.2633488823339
TescoLotusBangkae,Petchkasem62/1,356.8819328052946
Petchkasem62/1,Petchkasem62,364.36929509740065
Petchkasem62,Phetkasem58/1,494.69956377115824
Phetkasem58/1,Phetkasem58,395.67826877696245
Phetkasem58,OppositeSeaconBangkae,496.57484422894777
OppositeSeaconBangkae,Phetkasem54,500.53124814841885
Phetkasem54,OppositeWatRangbua,374.1215454257352
OppositeWatRangbua,OppositeKan-AriSportClub,418.3259307685032
OppositeKan-AriSportClub,WatChanpradittharam,449.78617703690867
WatChanpradittharam,KhundanChaoporsuaShrine,484.6160015858278
KhundanChaoporsuaShrine,Phetkasem42,433.72374325660905
Phetkasem42,Phetkasem38,425.8142180140076
Phetkasem38,SiamUniversity,345.81698843444343
SiamUniversity,Petchkasem36WatPradu,449.04059123935974
Petchkasem36WatPradu,SoiPetchkasem32SoiSermmit,486.6099115577265
SoiPetchkasem32SoiSermmit,SoiPetchkasem28,371.4349197923793
SoiPetchkasem28,BangphaiHospital,352.62069843884075
BangphaiHospital,ViboonBusinessAdministrationCollege,366.6443281914481
ViboonBusinessAdministrationCollege,Petchkasem14ThaphraIntersection,478.15854150298
Petchkasem14ThaphraIntersection,SesawechVidhayaSchool,463.57525519439565
SesawechVidhayaSchool,ThonburiCommercialCollege,385.82877216528794
ThonburiCommercialCollege,WatBangSaoThong,503.3151788525322
WatBangSaoThong,OppositeMetropolitanElectricityAuthorityThonBuriDistrict,412.85396268547584
OppositeMetropolitanElectricityAuthorityThonBuriDistrict,SoiBupphaSawan,383.0813899905402
SoiBupphaSawan,NakornLuangShoppositeing,464.36650808067077
NakornLuangShoppositeing,WatRuakSuttharam,495.4550269489356
WatRuakSuttharam,BangKhunSi,416.8531443411406
BangKhunSi,BangKhunNon,463.4688567057625
BangKhunNon,CharansanitwongTechnologicalCollege,391.0756976801848
CharansanitwongTechnologicalCollege,CharanSanitWongSoi43,417.9951559010957
CharanSanitWongSoi43,WatNaiRong,386.8617863018719
WatNaiRong,PataPinklao,384.5146121797315
PataPinklao,PhraPinklaoBridge(Inbound),392.6918891420541
PhraPinklaoBridge(Inbound),KongSalak,355.52960579443044
KongSalak,DemocracyMonument(Suksapan),493.9904149402721
DemocracyMonument(Suksapan),WatRatchaNatdaRam,466.29214704966574
WatRatchaNatdaRam,NangLerngPoliceOffice,369.57636739759556
NangLerngPoliceOffice,OppositeMinistryOfTransport,384.82554656888004
OppositeMinistryOfTransport,RoyalThaiSurveyDepartmentJ.P.RIntersection,432.74883410315437
RoyalThaiSurveyDepartmentJ.P.RIntersection,UnitedNations,387.89803648937266
UnitedNations,MinistryOfEducation,480.6710052120683
MinistryOfEducation,Samnakngan,512.7883342742972
Samnakngan,RatwinitSchool,355.64746036037957
RatwinitSchool,RoyalTurfClub,474.94544150711175
RoyalTurfClub,OppositeMissionHospital,486.33673104122124
OppositeMissionHospital,SawanlokPai1YaekYommarat,387.08576726351515
SawanlokPai1YaekYommarat,MinistryOfForeignAffairs,376.7435627142892
MinistryOfForeignAffairs,MahidolUniversity(FacultyOfScience),405.0984073435337
MahidolUniversity(FacultyOfScience),RamathibodiHospital,364.9287682588369
RamathibodiHospital,PhramongkutklaoCollegeOfMedicine,472.40181188841314
PhramongkutklaoCollegeOfMedicine,PhayathaiPalace,411.121731089114
PhayathaiPalace,PhramongkutklaoHospital,512.155413537253
PhramongkutklaoHospital,VictoryMonument(PhahonYothinSide),424.7646235113281
VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),387.8947626366002
LueCha(Phahonyothin1),Phyathai2Hospital,494.09846553863514
Phyathai2Hospital,BusStopBTSSanampao(Exit1),468.2789375952201
BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),418.9586088870457
BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),368.2342952179928
Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),479.42825623556456
BusStopBTSAri(Exit3),BorderPatrolPolice,492.6544695759231
BorderPatrolPolice,SenaRuam(Phahonyothin11),486.71757484378486
SenaRuam(Phahonyothin11),BusStopBTSSaphanKhwai(Exit1),453.4937624950494
BusStopBTSSaphanKhwai(Exit1),WatPhaiton,461.8501245858502
WatPhaiton,OppositeJjMall,343.9641029264481
OppositeJjMall,OngkanTalatPhueaKasettakon,443.3669011155548
OngkanTalatPhueaKasettakon,OppositeQueenSirikitPark,361.25456234706644
OppositeQueenSirikitPark,Mochit2BusDepot,285.72725941582837
