from,to,distance
MinburiBusDepot,Chatuchak2MarketMinburi,213.82134887489562
Chatuchak2MarketMinburi,Navamin9Hospital,237.87577087133815
Navamin9Hospital,MinBuriIntersection(OppositeSoiTakhian),285.8545808086698
MinBuriIntersection(OppositeSoiTakhian),SerirukHospital,249.90006225041537
SerirukHospital,SoiSerithai68Yak1,299.00262733955935
SoiSerithai68Yak1,AkhanInDoThai,266.96408650223435
AkhanInDoThai,SoiSerithai62,229.3546250736337
SoiSerithai62,BoSahaYuNian,287.0929389179137
BoSahaYuNian,BoHonDaBangChan(Serithai56),238.37082784348692
BoHonDaBangChan(Serithai56),RongrianSongWit,240.1497970135523
RongrianSongWit,OppositeMubanKeSara,252.35703979763875
OppositeMubanKeSara,OppositePakThangSuanSayam,234.51261739782382
OppositePakThangSuanSayam,OppositeSunToyota,268.82939926980276
OppositeSunToyota,SeriThaiSoi46,210.52315412147414
SeriThaiSoi46,RueanThongNiwet,304.31119708745257
RueanThongNiwet,OppositeBoPhaNaSonik,264.28751220644466
OppositeBoPhaNaSonik,NawaThani,240.95140527558635
NawaThani,OppositeMubanSahakon,289.41169413850434
OppositeMubanSahakon,OppositeMubanPiamsuk,245.4852113712779
OppositeMubanPiamsuk,SeriThaiSoi20/1,240.87468019020193
SeriThaiSoi20/1,SeriThaiSoi16,254.56295613440943
SeriThaiSoi16,KhlongBangToei(Inbound),235.62967484524324
KhlongBangToei(Inbound),ChinavornSchool,223.65872143481468
ChinavornSchool,SeriThaiSoi10SoiTaSian,270.55225499564364
SeriThaiSoi10SoiTaSian,SerithaiSoi4,305.71381099775084
SerithaiSoi4,Watpichai,298.55802970011325
Watpichai,SriBurapha22KruaPramong,233.55402582768775
SriBurapha22KruaPramong,SriBurapha20,297.8236848933333
SriBurapha20,SriBurapha16(Garden),252.58404878278006
SriBurapha16(Garden),SriBurapha8,311.6285384293095
SriBurapha8,KruaRimbueng,229.77171648148752
KruaRimbueng,ThalaySaab1BangkapiLandOffice,236.94126234833695
ThalaySaab1BangkapiLandOffice,OppositeSamnaknganThidinBangKapi,218.20258972921448
OppositeSamnaknganThidinBangKapi,HappySeparateNavamin16.,286.4682128706742
HappySeparateNavamin16.,KhlongChanStadium,305.8028180500067
KhlongChanStadium,Na,235.87280491182563
Na,Kankhehahaengchat,221.4811858754872
Kankhehahaengchat,OppositeRongrianBanBangKapi,292.258178144085
OppositeRongrianBanBangKapi,OppositeSanphakonPhuenthi3NawaMin,248.74112413806296
OppositeSanphakonPhuenthi3NawaMin,TheMallBangkapi,294.6136012972943
TheMallBangkapi,MakroLadprao,306.6113715500384
MakroLadprao,TawanNa2,236.04984447053147
TawanNa2,OppositeRongphayabanWetThani,304.4801200518247
OppositeRongphayabanWetThani,OppositeLatPhrao107,270.0813839272129
OppositeLatPhrao107,LatPhrao130/1,258.8210022847403
LatPhrao130/1,RongrianSonKhomphiotoeSaek-LatPhrao,311.0204552335186
RongrianSonKhomphiotoeSaek-LatPhrao,LatPhraoSoi126,279.4828406175486
LatPhraoSoi126,SoiLatPhrao122,247.40038492050684
SoiLatPhrao122,OppositeLatPhraoHospital,286.2072646082343
OppositeLatPhraoHospital,OppositeFutLaen,263.4585665466933
OppositeFutLaen,LatPhraoSoi114BangkokSuksaSchool,213.55291211119993
LatPhraoSoi114BangkokSuksaSchool,LatPhraoSoi112BangkokSuksaSchool,311.8336174663525
LatPhraoSoi112BangkokSuksaSchool,OppositeSamnaknganKhetWangThonglang,292.4789983680403
OppositeSamnaknganKhetWangThonglang,OppositeImperialLatPhrao,217.61417670081752
OppositeImperialLatPhrao,LatPhrao92,225.25871416637762
LatPhrao92,Ladplaow71,280.71278400657525
Ladplaow71,LatPhraoSoi80,272.0607532074337
LatPhraoSoi80,OppositeLatPhaoPostOffice,243.67459460544384
OppositeLatPhaoPostOffice,SoiLatPhraoSoi64,306.0055622777507
SoiLatPhraoSoi64,KromPhaenthiThahan,302.9724750715342
KromPhaenthiThahan,LatPhraoSoi58,301.88259252998114
LatPhraoSoi58,OppositeLatPhraoSaphan2Market,257.1860020511936
OppositeLatPhraoSaphan2Market,PhibunUpathamSchool,268.52581782942667
PhibunUpathamSchool,Phawana,218.43805235669092
Phawana,SoiLatPhrao42,212.96785593233204
SoiLatPhrao42,SoiLatPhrao40,308.188294312889
SoiLatPhrao40,SoiLatPhrao38,233.64811302826112
SoiLatPhrao38,YaekRatDa,244.42530468717834
YaekRatDa,SoiLatPhrao26,276.2906626966548
SoiLatPhrao26,SoiLatPhrao22,252.60156481977342
SoiLatPhrao22,SoiLatPhrao20,240.4125282681915
SoiLatPhrao20,LatPhraoSoi14,272.7524590314319
LatPhraoSoi14,SoiLatPhrao12,287.2992701296427
SoiLatPhrao12,SiamComercialBankLatphrao,269.6786611582014
SiamComercialBankLatphrao,OppositeAkhanPhromPhan,234.74894877394024
OppositeAkhanPhromPhan,LatPhraoIntersection(LatPhraoSoi4),262.8395798382766
LatPhraoIntersection(LatPhraoSoi4),PakThangLatPhrao-WiphawadiRangSit,205.6545209493956
PakThangLatPhrao-WiphawadiRangSit,TmbHeadquarter,304.75465990845584
TmbHeadquarter,OppositeChatuchakPark,291.98806523819445
OppositeChatuchakPark,DepartmentOfLandTransport,278.0038757374954
DepartmentOfLandTransport,Phahonyothin18,292.48761688416585
Phahonyothin18,OppositeWatPhaiton,222.33634845739627
OppositeWatPhaiton,BusStopBTSSaphanKhwai(Exit2),247.24579533743886
BusStopBTSSaphanKhwai(Exit2),BangsuePoliceStation,210.71219986148554
BangsuePoliceStation,SaiLom(Phahonyothin8),235.7484491137414
SaiLom(Phahonyothin8),BusStopBTSAri(Exit4),243.43700660013747
BusStopBTSAri(Exit4),Ratchakhru(OppositePhahonyothin5),269.51542893329827
Ratchakhru(OppositePhahonyothin5),Kanchanakom(Phahonyothin2),231.6690008212612
Kanchanakom(Phahonyothin2),BusStopBTSSanampao(Exit4),236.55653343770857
BusStopBTSSanampao(Exit4),Channel5,258.72189626490626
Channel5,LueCha(OppositePhahonyothin1),239.74939827371165
LueCha(OppositePhahonyothin1),VictoryMonument(PhahonYothinSide),305.40585830529966
