from,to,distance
PakLatFaMaSi,OppositeWatPhayaPrap,490.2353996115218
OppositeWatPhayaPrap,PaiWatKlang,578.0487911922481
PaiWatKlang,SunthareePhraPraDang,622.2106564742229
SunthareePhraPraDang,HuapaiCenterLtd.,636.7375611964994
HuapaiCenterLtd.,OppositeSoiPhraRatWiRiYaPhon16,613.9421451519564
OppositeSoiPhraRatWiRiYaPhon16,RatBurana46,549.4121182992692
RatBurana46,OppositeChaengRonSchool(RatBuranaSoi44),557.9780888645895
OppositeChaengRonSchool(RatBuranaSoi44),JangronSchoolChumchonJangron,572.4610490473955
JangronSchoolChumchonJangron,KodangChaiyongSoiRatburana36,480.6722206543718
KodangChaiyongSoiRatburana36,OppositeThanakhanKasikonthai,469.20840385133744
OppositeThanakhanKasikonthai,SoiRatburana30,510.1684499591942
SoiRatburana30,SoiRatburana28,502.3032976429076
SoiRatburana28,KanFaifaYoiRatBurana,499.331028018227
KanFaifaYoiRatBurana,PublicHealthCenterRatBurana39,457.6736424110411
PublicHealthCenterRatBurana39,SoiRatburana18,631.9637813657719
SoiRatburana18,OppositeBorisatKtungthepKrungEkkasarnChumkut,630.8433950378267
OppositeBorisatKtungthepKrungEkkasarnChumkut,SoiRatburana12,652.1845112779965
SoiRatburana12,OppositeGoodInnHotel,593.0824215248243
OppositeGoodInnHotel,SoiRatBurana6,582.7759910749148
SoiRatBurana6,SoiCharoenNakhon76,532.4398327016938
SoiCharoenNakhon76,SoiCharoenNakhon66,568.5903393302972
SoiCharoenNakhon66,CharoenNakhon56,619.4686663573386
CharoenNakhon56,ThaiSeri(CharoenNakhon52),616.7504124117037
ThaiSeri(CharoenNakhon52),TheRiverCondominiam,453.93605216431047
TheRiverCondominiam,WatSuwan,484.06025337969845
WatSuwan,OppositeKlongsanMarket,557.620375567693
OppositeKlongsanMarket,Somdetchaophraya20,583.3572234971391
Somdetchaophraya20,SomdetChaoprayaHospital,633.0748529342669
SomdetChaoprayaHospital,SoiSomdetchaophraya18,645.313352353424
SoiSomdetchaophraya18,SoiSomdetchaophraya12,616.4301177025673
SoiSomdetchaophraya12,BanMo,485.26941048283084
BanMo,TerritorialDefenseCommand,522.9669594119579
TerritorialDefenseCommand,GrandPalace,435.38157571030393
GrandPalace,Sanamluang(OppositeSupremeCourt)Stop.1,579.3652251700346
Sanamluang(OppositeSupremeCourt)Stop.1,Sanamluang(OppositeSupremeCourt)Stop.2,415.8662673041388
Sanamluang(OppositeSupremeCourt)Stop.2,NationalTheatre,525.8619050718903
