from,to,distance
SanamluangBusTerminal(53L59503),Sanamluang(OppositeThammasartU.),255.9707552247813
Sanamluang(OppositeThammasartU.),Sanamluang(OppositeWatMahathat),340.0330136525198
Sanamluang(OppositeWatMahathat),Sanamluang(OppositeSupremeCourt)Stop.1,340.14117397410314
Sanamluang(OppositeSupremeCourt)Stop.1,KongSalak,272.28904166270377
KongSalak,KhokWuaIntersection,238.13447958020015
KhokWuaIntersection,DemocracyMonument(Suksapan),284.260782924445
DemocracyMonument(Suksapan),WatRatchaNatdaRam,301.8660952489148
WatRatchaNatdaRam,NangLerngPoliceOffice,256.4551035307278
NangLerngPoliceOffice,RoyalThaiSurveyDepartmentJ.P.RIntersection,303.44726239873734
RoyalThaiSurveyDepartmentJ.P.RIntersection,UnitedNations,239.6322488758525
UnitedNations,MinistryOfEducation,275.52129803769486
MinistryOfEducation,Opposite1StArmyArea,309.57763945136276
Opposite1StArmyArea,KingChulalongkornStatue,351.98384760181204
KingChulalongkornStatue,SuanChitlada,245.8089519901217
SuanChitlada,MinistryOfForeignAffairs,327.6723963271113
MinistryOfForeignAffairs,PriestHospital,254.5282319905578
PriestHospital,PriestHospitalBusTerminal,251.63345412327658
PriestHospitalBusTerminal,OppositeSantiratWitthayalaiSchool,319.8034405997851
OppositeSantiratWitthayalaiSchool,RatchathewiDistrictOffice,271.9133055993408
RatchathewiDistrictOffice,ArmyMedicalDepartment,244.4720112926653
ArmyMedicalDepartment,VictoryMonument(PhahonYothinSide),327.37013739909065
VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),247.50853440113443
LueCha(Phahonyothin1),Phyathai2Hospital,260.43584761898467
Phyathai2Hospital,BusStopBTSSanampao(Exit1),264.35904746114267
BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),327.03669548735274
BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),290.0606875082856
Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),297.82454541409476
BusStopBTSAri(Exit3),BorderPatrolPolice,279.0501374155667
BorderPatrolPolice,SenaRuam(Phahonyothin11),312.7588061483849
SenaRuam(Phahonyothin11),BusStopBTSSaphanKhwai(Exit1),329.99111764653105
BusStopBTSSaphanKhwai(Exit1),WatPhaiton,321.3711868273117
WatPhaiton,BusStopBTSMoChit(Exit3),336.38133718206683
BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,272.98196430416846
OppositeTmbHeadquarterBank,CentralLadprao,299.81260044423755
CentralLadprao,OppositeCrimeSuppressionDivision,328.07175605112985
OppositeCrimeSuppressionDivision,OppositeSatriWoranatBangkhenSchool,296.35598564035274
OppositeSatriWoranatBangkhenSchool,OppositeElephantBuilding,265.3925868292079
OppositeElephantBuilding,ThaivichitsilpArtSchool,253.7961963256024
ThaivichitsilpArtSchool,OppositeMayoHospital,358.2099385481336
OppositeMayoHospital,KasetIntersection(Amornpan),335.4188875402434
KasetIntersection(Amornpan),KasetsartUniversity(PhahonyothinSide),271.20517290733903
KasetsartUniversity(PhahonyothinSide),DepartmentOfAgriculturalExtension,328.55127545675646
DepartmentOfAgriculturalExtension,NationalResearchCouncilOfThailand,255.5372919252538
