from,to,distance
OppositeCharoenKrungHospital,TalatBangkholaemCharoenKrungSoi84,693.4803657027048
TalatBangkholaemCharoenKrungSoi84,WatLatBuaKhao,541.8793872085515
WatLatBuaKhao,WatPhrayaKrai,567.4811614347802
WatPhrayaKrai,AsiatiqueTheRiverfont,557.2117885861757
AsiatiqueTheRiverfont,WatRatSingkhon,675.0644925011018
WatRatSingkhon,MenamRiversidePlaza(Mamada)PhanaSiri,691.4248317541426
MenamRiversidePlaza(Mamada)PhanaSiri,OppositeBaanMai,712.480672566435
OppositeBaanMai,SamnaknganPraisaniWatPhrayaKrai,599.6241183397738
SamnaknganPraisaniWatPhrayaKrai,OngkanSaphanpla,485.40288081697184
OngkanSaphanpla,WatSuthi,555.65628706826
WatSuthi,RongrianSatriSiSuriyoThaiKromUThahanRuea,581.3330083282533
RongrianSatriSiSuriyoThaiKromUThahanRuea,WatYanNawa,652.3671869448366
WatYanNawa,RobinsonBangrak,523.8499585993893
RobinsonBangrak,AssumptionCollege,645.8638594793381
AssumptionCollege,TalatNoi,638.9580020062184
TalatNoi,SongWat,699.4897599640503
SongWat,ThianfahHospital,478.18440124017076
ThianfahHospital,ChaloemburiIntersection,638.8218629787054
ChaloemburiIntersection,OldMarketYaowarat,658.5811725376151
OldMarketYaowarat,WatTuk,708.4557942505205
WatTuk,Wangburapa,620.9398072152106
Wangburapa,ChaloemKrung,467.00915609182505
ChaloemKrung,TerritorialDefenseCommand,588.9351228512182
