from,to,distance
KanPrapaWatYaiRom,WatSisuk,579.1670153299773
WatSisuk,ChanPhring,586.3516268936465
ChanPhring,ToyotaCenterWatPuttabucha,687.049695072022
ToyotaCenterWatPuttabucha,Bangpakokhospita,547.7061805342728
Bangpakokhospita,Pothong,690.4457380641303
Pothong,JomthongDistrict,693.2993385417798
JomthongDistrict,TalatBangPaKaeo,605.796688260114
TalatBangPaKaeo,WatNakNiMitSukSawat8,672.173362948899
WatNakNiMitSukSawat8,SoiPlangAnuson,623.5949417750851
SoiPlangAnuson,Daokhanong,524.9997671627601
Daokhanong,BigCDaoKhanong,511.42062910341133
BigCDaoKhanong,OppositeRongrianSaengThongThorathat,503.4290119003869
OppositeRongrianSaengThongThorathat,MahaiSawan,561.5486559267204
MahaiSawan,RatchadaphisekSoi5,557.850974575772
RatchadaphisekSoi5,ThanachartBank,608.9108245882089
ThanachartBank,OppositeTheMallThapra,554.1756069075593
OppositeTheMallThapra,Ratchada-ThaPhraHospital,617.0018149634236
Ratchada-ThaPhraHospital,ThaPhraIntersection,497.0152917999569
ThaPhraIntersection,WatPraduNaiSongtham,607.0924558244166
WatPraduNaiSongtham,OppositeViboonCollege,479.0354552544321
OppositeViboonCollege,WatNuannoradit,498.4306003935062
WatNuannoradit,Phyathai3Hospital,535.8719087754081
Phyathai3Hospital,SermitPhetkasemSoi25/1,601.4993051313065
SermitPhetkasemSoi25/1,BusStopBTSBangwa(Exit4),537.6426523215504
BusStopBTSBangwa(Exit4),OppositeSiamUniversity,699.2564778467334
OppositeSiamUniversity,Phetkasem27/1,694.9301123861337
Phetkasem27/1,OppositePhetkasem42,706.913485231749
OppositePhetkasem42,OppositeKhundanChaoporsuaShrine,636.9491324712128
OppositeKhundanChaoporsuaShrine,OppositeWatChanpradittharam,481.674682443821
OppositeWatChanpradittharam,Kan-AriSportClub,681.8478712623609
Kan-AriSportClub,WatRangbua,655.6773239935866
WatRangbua,RedCrossStation11(Wisetniyom),613.7387446412629
RedCrossStation11(Wisetniyom),SeaconBangkae,620.8452501264458
SeaconBangkae,Phetkasem39,535.3124243313956
Phetkasem39,BangkaeHomeFoundation,676.3013485279666
BangkaeHomeFoundation,BangkaeMarket,524.3371982206929
BangkaeMarket,OppositeTescoLotusBangkae,542.394621370442
OppositeTescoLotusBangkae,NanyangIndustrial,543.8584405995499
NanyangIndustrial,CastlePeakCompany,692.7069097433496
CastlePeakCompany,Phetkasem45/1,466.42213654756523
Phetkasem45/1,OppositeTheMallBangkae,585.0476273760562
OppositeTheMallBangkae,Phetkasem51,571.6540331323914
Phetkasem51,EntPhutthamonthonSai2,518.8148647327798
EntPhutthamonthonSai2,Phetkasem2Village,720.2725740687051
Phetkasem2Village,Phetkasem3Village,636.2925771685235
Phetkasem3Village,PassariVillage,550.6357026030466
PassariVillage,SoiWatBunyaPradit,474.51002703555827
SoiWatBunyaPradit,PhutthamonthonSai2Soi12(Inbound),670.2199294005808
PhutthamonthonSai2Soi12(Inbound),PhutthamonthonSai2BusDepot,617.8769626893406
