from,to,distance
Mochit2BusDepot,QueenSirikitPark,483.01634003857373
QueenSirikitPark,JjMall,385.03246529854385
JjMall,ChatuchakMarket(Gate1),451.57729484580864
ChatuchakMarket(Gate1),BusStopBTSMoChit(Exit3),444.8079376122218
BusStopBTSMoChit(Exit3),TmbHeadquarter,445.2520654336795
TmbHeadquarter,OppositeChatuchakPark,360.2274120300646
OppositeChatuchakPark,DepartmentOfLandTransport,368.74234793559117
DepartmentOfLandTransport,Phahonyothin18,422.15795767739
Phahonyothin18,OppositeWatPhaiton,406.9763260449614
OppositeWatPhaiton,BusStopBTSSaphanKhwai(Exit2),436.18201270373555
BusStopBTSSaphanKhwai(Exit2),BangsuePoliceStation,327.87821255005315
BangsuePoliceStation,SaiLom(Phahonyothin8),365.6385263298683
SaiLom(Phahonyothin8),BusStopBTSAri(Exit4),366.7933309006862
BusStopBTSAri(Exit4),Ratchakhru(OppositePhahonyothin5),364.49865459126335
Ratchakhru(OppositePhahonyothin5),Kanchanakom(Phahonyothin2),359.94595748934563
Kanchanakom(Phahonyothin2),BusStopBTSSanampao(Exit4),353.2665720108326
BusStopBTSSanampao(Exit4),Channel5,362.42173047796757
Channel5,LueCha(OppositePhahonyothin1),469.4952500031777
LueCha(OppositePhahonyothin1),VictoryMonument(PhayaThaiSide),460.50239186198974
VictoryMonument(PhayaThaiSide),Century,344.0613230002115
Century,WannasornTower,396.25902839002237
WannasornTower,SriAyutthayaBuilding,360.73917787894584
SriAyutthayaBuilding,SriAyudhyaSchool,449.4128797532018
SriAyudhyaSchool,Chaopraya2Massage,339.3640499081152
Chaopraya2Massage,OppositeIndraSquarePratunam,386.2798181836507
OppositeIndraSquarePratunam,BigcRajdamri,431.1604219974996
BigcRajdamri,PeninsulaPlaza,486.6335326324786
PeninsulaPlaza,BusStopBTSRatchadamri(Exit2),344.40801352015075
BusStopBTSRatchadamri(Exit2),Aua,440.2972608150681
Aua,LumphiniPark(RatchadamriSideStop.1),362.3588517953505
LumphiniPark(RatchadamriSideStop.1),LumphiniPark(RatchadamriSideStop.2),462.31631965757276
LumphiniPark(RatchadamriSideStop.2),BusStopBTSSaladaeng(Exit2/4),447.1029991194607
BusStopBTSSaladaeng(Exit2/4),CpTower,482.50928465078226
CpTower,NararomIntersection,354.0053850534051
NararomIntersection,DechoJunction(Inbound),365.31294859016754
DechoJunction(Inbound),WatKhaek,356.5305719511435
WatKhaek,SolSilom19,366.3638457725016
SolSilom19,LerdsinHospital,488.81734396448513
LerdsinHospital,OppositeRobinsonBangrak,436.37779898377426
OppositeRobinsonBangrak,BusStopBTSSurasak(Exit3),444.83433627516956
BusStopBTSSurasak(Exit3),BangkokChristianCollege,345.3524017189811
BangkokChristianCollege,SuksaWittaya,352.54282486189476
SuksaWittaya,SoiNarathiwat7,473.3168344110053
SoiNarathiwat7,SoiNarathiwat15,416.503066644666
SoiNarathiwat15,RajamagalaUniversityOfTechnologyKrungthep,395.7428017592761
RajamagalaUniversityOfTechnologyKrungthep,OppositeMakroSathorn,438.14899295624235
OppositeMakroSathorn,JanjaoSchool,422.8170494336131
JanjaoSchool,SamyanSeafood,436.30504438891745
SamyanSeafood,BorisatHonDa,350.04896250942807
BorisatHonDa,SamnaknganKhetYanNawa,356.675577960174
SamnaknganKhetYanNawa,TescoLotusRama3(NaradhiwatSide),336.5224921434804
TescoLotusRama3(NaradhiwatSide),SupalaiPrimaRiva,396.96025367700156
SupalaiPrimaRiva,TescoLotusRama3(RatchadapisekSide),498.6407133114674
TescoLotusRama3(RatchadapisekSide),PanjathaniTower,401.36044168334644
PanjathaniTower,SathuPraditExpressway,337.82375201374316
SathuPraditExpressway,CentralRama3,412.9941572492433
CentralRama3,SathuPraditBusDepot,405.80084907985986
