from,to,distance
VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),379.24643025039654
LueCha(Phahonyothin1),Phyathai2Hospital,439.9706229228797
Phyathai2Hospital,BusStopBTSSanampao(Exit1),395.232593174952
BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),320.07010773926
BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),341.41466570119957
Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),424.26605563404235
BusStopBTSAri(Exit3),BorderPatrolPolice,350.5638147762884
BorderPatrolPolice,SenaRuam(Phahonyothin11),331.88964639578563
SenaRuam(Phahonyothin11),BusStopBTSSaphanKhwai(Exit1),355.89286752861466
BusStopBTSSaphanKhwai(Exit1),WatPhaiton,379.61145447246224
WatPhaiton,BusStopBTSMoChit(Exit3),449.75100297129717
BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,347.69474809069044
OppositeTmbHeadquarterBank,CentralLadprao,378.82371548437135
CentralLadprao,OppositeCrimeSuppressionDivision,350.84114659103494
OppositeCrimeSuppressionDivision,OppositeSatriWoranatBangkhenSchool,422.8365002775015
OppositeSatriWoranatBangkhenSchool,OppositeElephantBuilding,355.9974554109026
OppositeElephantBuilding,ThaivichitsilpArtSchool,323.88334132726374
ThaivichitsilpArtSchool,OppositeMayoHospital,339.6527885974091
OppositeMayoHospital,KasetIntersection(Amornpan),447.4531505060422
KasetIntersection(Amornpan),KasetsartUniversity(PhahonyothinSide),414.81756789282076
KasetsartUniversity(PhahonyothinSide),DepartmentOfAgriculturalExtension,418.99992894070283
DepartmentOfAgriculturalExtension,NationalResearchCouncilOfThailand,335.1408989365711
NationalResearchCouncilOfThailand,RoyalForestDept.,376.85769208849905
RoyalForestDept.,ChatuchakPostOffice,421.1320567345869
ChatuchakPostOffice,OppositeSripatumUniversity,383.16298471534697
OppositeSripatumUniversity,BangbuaSchool,330.1026487365387
BangbuaSchool,PramotWitthayatanSchool,440.505953683129
PramotWitthayatanSchool,BangbuaRestaurant,364.62146548402154
BangbuaRestaurant,Phahonyothin49/2,425.94862288632095
Phahonyothin49/2,SoiPhaholyothin53,444.32241372856413
SoiPhaholyothin53,BangkhenBusDepot[FrontOf],460.3058828794219
BangkhenBusDepot[FrontOf],WatPhraSiMahathat,354.28290221691157
WatPhraSiMahathat,BangkhenPoliceStation,371.505224338541
BangkhenPoliceStation,KrirkUniversity,449.230876785712
KrirkUniversity,CentralRamintra,316.73281465483774
CentralRamintra,Ramintra5,382.855536522679
Ramintra5,PramochWitthayaRaminthraSchool,354.23519077226547
PramochWitthayaRaminthraSchool,OppositeLumpineeStadiumRamintra,396.8311006561834
OppositeLumpineeStadiumRamintra,LatPlakhaoJunction(Ramintra15),349.21841137363975
LatPlakhaoJunction(Ramintra15),SoiRamindra21,331.77057554555154
SoiRamindra21,OppositeBigcRamintra,384.8878174969663
OppositeBigcRamintra,MubanKaoli,429.9003866850901
MubanKaoli,TaladKomo4,353.249706668727
TaladKomo4,KhehaRamInthraKomo4,440.23406904750675
KhehaRamInthraKomo4,OppositeSoiMaiLap,440.97425558103714
OppositeSoiMaiLap,KongBinTamruat,366.6132672216402
KongBinTamruat,WatcharaPhon(Km.5),322.0443976079209
WatcharaPhon(Km.5),MubanSawatdikanThahan,419.88283965764003
MubanSawatdikanThahan,SoiRaminthra65,349.7522857619464
SoiRaminthra65,Komo7RamInThra,458.1272623342331
Komo7RamInThra,RamInThraSoi69,358.27720581240783
RamInThraSoi69,Komo8RamInThra,455.4400211894336
Komo8RamInThra,Komo8RamInThra52SunNitSanPamPariToNat,348.1049392532444
Komo8RamInThra52SunNitSanPamPariToNat,OppositeSynphaetHospital,324.2319830585772
OppositeSynphaetHospital,RamInThra89YueangPamEsSo,431.3296772533978
RamInThra89YueangPamEsSo,YaekThanonLiapKhlongSong,419.58475632912933
YaekThanonLiapKhlongSong,FashionIsland,394.86601597730527
FashionIsland,ThanakhanKrungthaiRamInThra,414.585554544372
ThanakhanKrungthaiRamInThra,PamPotothoOppositeRanHiaHoPuDong,440.3967862485726
PamPotothoOppositeRanHiaHoPuDong,Wisutavil,339.3126704138492
Wisutavil,NoppositeharatHospital,382.1571765806304
NoppositeharatHospital,JanpenRestaurant,310.72542613701563
JanpenRestaurant,MakmaiRestaurant,311.43039272387097
MakmaiRestaurant,PhrayaSuren,385.5469802541248
PhrayaSuren,Ramintra117,392.8235497842012
Ramintra117,Sinthanee2Village,344.8005846921488
Sinthanee2Village,PaenamRestaurant,428.00210786756514
PaenamRestaurant,SetthabutBamphenSchool,412.34169566690446
SetthabutBamphenSchool,MinBuriIntersection(SoiTakhian),403.2642279467143
MinBuriIntersection(SoiTakhian),MinburiTechnicalCollege,335.53129970774404
MinburiTechnicalCollege,Jatujak2Minburi,321.12888761042797
Jatujak2Minburi,MinburiMarket(GoldenFiishBuilding),422.93155185467464
MinburiMarket(GoldenFiishBuilding),MinburiBusDepot,399.8473636057309
