from,to,distance
BangkokUniversityCityCampus,KwonKonKan,410.23645302707587
KwonKonKan,TheptharinHospital,306.26173312094716
TheptharinHospital,OppositeBotThaoWoe,318.5627903646462
OppositeBotThaoWoe,Manorom,458.62294448724685
Manorom,TescoLotusRama4,437.2874282530885
TescoLotusRama4,RanAhanSonThong,420.3586037132036
RanAhanSonThong,Sainamphueng,380.97907484074733
Sainamphueng,SoiChaiMongkhon1,329.7412878171496
SoiChaiMongkhon1,ElectricityAuthorityKhlongToei,347.1495767339413
ElectricityAuthorityKhlongToei,OppositeRongNganYasup,430.1983950016078
OppositeRongNganYasup,ThailandLife(Kai),393.0735578969157
ThailandLife(Kai),LumPhiNiPraThumWan,327.18169301558714
LumPhiNiPraThumWan,SathonSoi1,402.01293200579005
SathonSoi1,RoroSukhothai,445.0533856094179
RoroSukhothai,EmbassyOfAustralia,392.51998827464905
EmbassyOfAustralia,SathornCityTower,344.29189213875605
SathornCityTower,YakaeNarinthonBangrakHospital,309.4941594908802
YakaeNarinthonBangrakHospital,SaintLouisHospital,347.2672885003355
SaintLouisHospital,ThaiCc,340.32151491315733
ThaiCc,SoiRongNamkhaeng,315.6681864014361
SoiRongNamkhaeng,WatSuwan,361.39097851499037
WatSuwan,OppositeKlongsanMarket,339.95179988666496
OppositeKlongsanMarket,Latya14,363.62503681755
Latya14,LatyaJunction(Inbound),434.29199772246403
LatyaJunction(Inbound),Latya8,444.8577937200262
Latya8,KrungdebCo-OperativeLatya,315.37893496201207
KrungdebCo-OperativeLatya,OppositeRobinsonLatya,448.9051335247919
OppositeRobinsonLatya,WongWianYai(ThonburiSuksa),384.5786730803119
WongWianYai(ThonburiSuksa),YaekBanKhaek(Inbd),317.7124850814104
YaekBanKhaek(Inbd),BansomdejchaoprayaRajabhat,384.5957295749503
BansomdejchaoprayaRajabhat,ItsaraphapSoi17/1,316.45645748419616
ItsaraphapSoi17/1,MatsayitDinFanLa,351.5331830396804
MatsayitDinFanLa,OppositeItsaraphapSoi23/2,336.14046074334743
OppositeItsaraphapSoi23/2,ItsaraphapSoi31,456.9041805670042
ItsaraphapSoi31,ItsaraphapSoi33,451.2326071839014
ItsaraphapSoi33,RongrianWatChinorot,454.45632011936317
RongrianWatChinorot,ItsaraphapSoi37,455.11748095472524
ItsaraphapSoi37,RongrianTonSom,403.4357494625892
RongrianTonSom,PhranNokVeterinaryClinic,325.0530585403094
PhranNokVeterinaryClinic,WatWisetKan,429.1105868048197
WatWisetKan,OppositeSirirajHospital,334.1697663069165
OppositeSirirajHospital,ArunAmmarin39,391.7868753661216
ArunAmmarin39,ArunAmmarin41,458.321624958552
ArunAmmarin41,OppositePataPinklao,309.63097371967945
OppositePataPinklao,SeparateBoromarajonani,417.2316531089254
SeparateBoromarajonani,ThanonBoromRatChonnani,318.29007727938915
ThanonBoromRatChonnani,CentralPinklao,429.36692936752246
CentralPinklao,LumpiniCondoPinklao,404.86000934623166
LumpiniCondoPinklao,ChaophyaHospital,432.81102880818395
ChaophyaHospital,BefPinklaoBusTerminal,353.6039617802564
BefPinklaoBusTerminal,SoiBorommaratchachonnani35,310.62645066764196
SoiBorommaratchachonnani35,SoiBorommaratchachonnani45,359.1135422599114
SoiBorommaratchachonnani45,CedarMansion,445.00886351728275
CedarMansion,TalingchanPoliceStation,399.5264439276149
TalingchanPoliceStation,Ratchapreuk-BorommaratchachonnaniIntersectionStop1,351.6561984191748
Ratchapreuk-BorommaratchachonnaniIntersectionStop1,TheDusitMunicipalityCourt,396.5928419115094
TheDusitMunicipalityCourt,TalingchanPublicProsecutionOffice,453.55485178297135
TalingchanPublicProsecutionOffice,OppositeThanonChimphli,319.53221254679863
OppositeThanonChimphli,PaimrakVillage,433.07316657197305
PaimrakVillage,SouthernBusTerminal(Talingchan),394.5283979412904
SouthernBusTerminal(Talingchan),SoiBorommaratchachonnani91,316.9634132907829
SoiBorommaratchachonnani91,ThonburiHospital2,301.9654917705523
ThonburiHospital2,OppositeMetropolitanPoliceDivision7,436.7736919590327
