from,to,distance
BusDepot3848(Ramkhamhaeng2),OppositeRamkhamhaengUniversity2(Gate2),323.8073801164201
OppositeRamkhamhaengUniversity2(Gate2),SoiChanYawat,372.35507799921083
SoiChanYawat,RachwinitbangkeawSchool,374.35760849153047
RachwinitbangkeawSchool,OppositeMubanSantiNakhon,323.9543838161705
OppositeMubanSantiNakhon,PiyaminHospital,264.1100963993416
PiyaminHospital,SoiMittraphap,286.3579827767979
SoiMittraphap,BangNaThaoWoe,258.9729459759552
BangNaThaoWoe,NaTuekNeChan,289.31118156854416
NaTuekNeChan,ThekNoPremRuethai,308.3342940208616
ThekNoPremRuethai,KanKhehaBangNa,344.09667731417676
KanKhehaBangNa,OppositeCentralBangna,331.0981360800116
OppositeCentralBangna,BangNa-Trat28,299.715481041496
BangNa-Trat28,AvanaHotel,333.51859421291164
AvanaHotel,PrapamontriSchool,373.75829033273686
PrapamontriSchool,BitecBangna,301.05792993723577
BitecBangna,BangNaIntersection(Bitec),268.4930203598874
BangNaIntersection(Bitec),BangnaIntersection(Inbound),259.7155060801203
BangnaIntersection(Inbound),Kluaynamthai2Hospital,321.0558233823007
Kluaynamthai2Hospital,BusStopBTSUdomsuk(Exit4),332.6545513037454
BusStopBTSUdomsuk(Exit4),Sukhumvit66,303.049693742602
Sukhumvit66,UdomSukPostOffice,327.321265421036
UdomSukPostOffice,WachirathamSatit(OppositeSukhumvit101/1),289.77469365287607
WachirathamSatit(OppositeSukhumvit101/1),BusStopBTSPunnawithi(Exit4),298.80242010475456
BusStopBTSPunnawithi(Exit4),BusStopBTSPunnawithi(Exit2),377.9576518828321
BusStopBTSPunnawithi(Exit2),Sukhumvit62/1,263.5987645164931
Sukhumvit62/1,TalatBangChak(Sukhumvit93),287.8085532268562
TalatBangChak(Sukhumvit93),SukhumvitSoi56,253.98612231002977
SukhumvitSoi56,RongrianNariNiramon(KhetPhraKhanong),297.8137797475737
RongrianNariNiramon(KhetPhraKhanong),BusStopBTSOnNut(Exit2),276.5843392347405
BusStopBTSOnNut(Exit2),TalatOnNut(KanPrapaOnNut)KanPrapaPhraKhanong,308.8753756783851
TalatOnNut(KanPrapaOnNut)KanPrapaPhraKhanong,OppositePhrakhanongMarket,294.72936765119834
OppositePhrakhanongMarket,BusStopBTSPhraKhanong(Exit2),267.0991123865265
BusStopBTSPhraKhanong(Exit2),PaiRongrianSiWiKon,323.4871960268808
PaiRongrianSiWiKon,GatewayEkamai,286.26466240984513
GatewayEkamai,BangkokPlanetarium,294.95695844529115
BangkokPlanetarium,SoiSukhumvit40,285.912297198634
SoiSukhumvit40,BusStopBTSThonglo(Exit2/4),319.5879209261845
BusStopBTSThonglo(Exit2/4),SoiSukhumvit34(SoiSuphang),274.1266061770854
SoiSukhumvit34(SoiSuphang),SoiSukhumvit28(SoiBansan),263.43587194257503
SoiSukhumvit28(SoiBansan),BusStopBTSPhromphong(Exit4),292.9771193746856
BusStopBTSPhromphong(Exit4),BenjasiriPark,309.19459839876816
BenjasiriPark,SoiSukhumvitSoi20,364.8370989814529
SoiSukhumvitSoi20,SoiSukhumvit18,383.9592705969841
SoiSukhumvit18,YaekSukhumvit-AsokTalatAsok,352.9108567198019
YaekSukhumvit-AsokTalatAsok,SermmitTowerTuekChiNoThai,265.2936076149076
SermmitTowerTuekChiNoThai,GmmGrammy,347.91571554639575
GmmGrammy,OppositeSrinakarinwirotUniversity(AsokMontriRoad),258.93733092905313
OppositeSrinakarinwirotUniversity(AsokMontriRoad),RongrianSenDoMiNik,338.1629027376429
RongrianSenDoMiNik,RoyalPrinceHotel,348.62681764986866
RoyalPrinceHotel,YaekNikhomMakkasan,362.8171774543953
YaekNikhomMakkasan,NikhomMakkasan(PhetchaburiRoadInbound),385.5026598896072
NikhomMakkasan(PhetchaburiRoadInbound),WatMakkasan,351.6578080620414
WatMakkasan,Metro,291.49792311244084
Metro,YaekPratunam,366.0950274250826
YaekPratunam,IndraSquarePratunam,372.9651931013015
IndraSquarePratunam,OppositeSoiRangNam,344.5473593829618
OppositeSoiRangNam,OppositeWatTaphan,344.9925626049304
OppositeWatTaphan,SantiphapPark,364.85149765764874
SantiphapPark,VictoryMonument(PhahonYothinSide),342.7870193529536
VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),336.6958161521321
LueCha(Phahonyothin1),Phyathai2Hospital,355.7619148209315
Phyathai2Hospital,BusStopBTSSanampao(Exit1),247.5902842545202
BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),255.35157352980477
BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),347.48483700073166
Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),309.6168547883914
BusStopBTSAri(Exit3),BorderPatrolPolice,250.41433879861162
BorderPatrolPolice,SenaRuam(Phahonyothin11),305.7914284436235
SenaRuam(Phahonyothin11),BusStopBTSSaphanKhwai(Exit1),304.4311702281881
BusStopBTSSaphanKhwai(Exit1),WatPhaiton,325.24445432326826
WatPhaiton,BusStopBTSMoChit(Exit3),351.6382811015791
BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,283.016747571208
OppositeTmbHeadquarterBank,BusStopMRTPhahonyothin(Exit3),349.2020801829871
BusStopMRTPhahonyothin(Exit3),LatPhraoIntersection(LatPhraoSoi1),292.40823579957635
LatPhraoIntersection(LatPhraoSoi1),OppositeSa-NguanSaoOToKhae,328.9915781020049
OppositeSa-NguanSaoOToKhae,ThanakhanThaiphanitLatPhrao,299.22385803558774
ThanakhanThaiphanitLatPhrao,BigCLatPhrao,330.0246438687791
BigCLatPhrao,LatPhraoSoi20,304.37487315432014
LatPhraoSoi20,SoiLatPhrao17,358.9673003577197
SoiLatPhrao17,SankhwaengPhraNakhonNuea,283.4608550728507
SankhwaengPhraNakhonNuea,CriminalCourt,294.5674662222788
CriminalCourt,OppositeMahawitthayalaiRatchaphatChantharaKasem,333.31424770612136
