from,to,distance
SouthernBus(Talingchan)BusTerminal,WatMakok,508.2598028932023
WatMakok,ThanonChimPhli,550.9209038488508
ThanonChimPhli,Borommaratchachonnani52,540.2240962882013
Borommaratchachonnani52,OppositeTheDusitMunicipalityCourt,440.50036237335013
OppositeTheDusitMunicipalityCourt,SoiBorommaratchachonnani46,430.48795934593534
SoiBorommaratchachonnani46,SoiChimpee2,508.23208443448186
SoiChimpee2,BenzTalingchan,406.61423303868503
BenzTalingchan,SeriGolf,460.87235160166625
SeriGolf,SoiBorommaratchachonnani22,495.9016847171326
SoiBorommaratchachonnani22,Borommaratchachonnani12,580.302570495903
Borommaratchachonnani12,ChaophrayaHospital,425.885452700706
ChaophrayaHospital,MinistryOfCulture,464.2061007856564
MinistryOfCulture,MajorPinklao,416.0757858046397
MajorPinklao,TescoLotusPinKlao,565.4268184097892
TescoLotusPinKlao,YaekBorommaratchachonnani(Inbd),550.583285417626
YaekBorommaratchachonnani(Inbd),35Bowl49FamilyBrilliantlyNietzsche.,471.4591758737247
35Bowl49FamilyBrilliantlyNietzsche.,RongrianPinMongkhonKansueksa,540.4733555001388
RongrianPinMongkhonKansueksa,PhongEstateOppositeTheOpposite.PharmaceuticalsWadrwk.,396.9126355593783
PhongEstateOppositeTheOpposite.PharmaceuticalsWadrwk.,NoiLand,472.3227115521702
NoiLand,CTogetherOppositeNagaPermanent.,575.0854117068578
CTogetherOppositeNagaPermanent.,SanghiIntersection,519.7289514871389
SanghiIntersection,OppositeSuanSunandha/SuanDusit,577.7474958476156
OppositeSuanSunandha/SuanDusit,OppositeVimanmekPalace,498.968045235698
OppositeVimanmekPalace,OppositeDusitZoo,516.458168925455
OppositeDusitZoo,ChitraladaPalace(Ratchawithi32),470.84490150531656
ChitraladaPalace(Ratchawithi32),ChitraladaPalace(Ratchawithi24),541.2711192596183
ChitraladaPalace(Ratchawithi24),RajvithiHome,527.2753829089302
RajvithiHome,PhramongkutklaoCollegeOfMedicine,522.594817153985
PhramongkutklaoCollegeOfMedicine,PhayathaiPalace,441.1647861678272
PhayathaiPalace,PhramongkutklaoHospital,550.6003449545178
PhramongkutklaoHospital,VictoryMonument(PhahonYothinSide),390.19820474910244
VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),504.6167015465303
LueCha(Phahonyothin1),Phyathai2Hospital,530.9022125424576
Phyathai2Hospital,BusStopBTSSanampao(Exit1),521.8230381975181
BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),484.9616922838309
BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),509.61514752802697
Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),482.68793587263673
BusStopBTSAri(Exit3),BorderPatrolPolice,424.51239179870805
BorderPatrolPolice,SenaRuam(Phahonyothin11),527.0985921156724
SenaRuam(Phahonyothin11),BusStopBTSSaphanKhwai(Exit1),491.08066316542767
BusStopBTSSaphanKhwai(Exit1),WatPhaiton,498.1152151336083
WatPhaiton,BusStopBTSMoChit(Exit3),487.79025560406353
BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,437.48265444836295
OppositeTmbHeadquarterBank,CentralLadprao,440.74624193262616
CentralLadprao,OppositeCrimeSuppressionDivision,395.7059454518871
OppositeCrimeSuppressionDivision,OppositeSatriWoranatBangkhenSchool,433.61178327734524
OppositeSatriWoranatBangkhenSchool,OppositeElephantBuilding,584.0719039187371
OppositeElephantBuilding,ScbBuilding,430.5504925114736
ScbBuilding,RatchaWipha(PhahonYothinSoi36),457.0281321277844
