from,to,distance
NaHangThongMaePloy,SoiSriMeritAsOppositeosedVibharam.,464.2286038611287
SoiSriMeritAsOppositeosedVibharam.,OppositeMeChoeHoLiWutPakKret,509.3705362343669
OppositeMeChoeHoLiWutPakKret,OppositeThithamkanPraisaniHaYaekPakKret,445.75678450215463
OppositeThithamkanPraisaniHaYaekPakKret,BranchKretIntersectionSoiSoi-12HoursAgo,396.83938735633257
BranchKretIntersectionSoiSoi-12HoursAgo,WitthayalaiKanChonlaprathan,435.61863459422887
WitthayalaiKanChonlaprathan,RongrianChonlaprathanSongkhro,450.0829314532616
RongrianChonlaprathanSongkhro,UnityAlleyChinatownStorefrontRestaurant.,448.69896090916995
UnityAlleyChinatownStorefrontRestaurant.,TheOppositeBankSoiSoi50/1.,495.4670563688761
TheOppositeBankSoiSoi50/1.,SoiSathitYutthakan5,516.842882685837
SoiSathitYutthakan5,ToyotaMueangNonthaburi,432.3922750871059
ToyotaMueangNonthaburi,OppositeArmyQuartermasterDepartment,455.7973598645211
OppositeArmyQuartermasterDepartment,SoiSoi36BronzesReview,491.7867489385279
SoiSoi36BronzesReview,RongrianSantiWan,457.19918244897576
RongrianSantiWan,HighSchoolNonthaburiOppositeThePeaceValley.,363.5848014980728
HighSchoolNonthaburiOppositeThePeaceValley.,PostalNonthaburiElectricNonthaburiNonthaburiOppositeSatelliteRadioStations.,382.59662057353887
PostalNonthaburiElectricNonthaburiNonthaburiOppositeSatelliteRadioStations.,ChestHospital,420.1194514472279
ChestHospital,OppositeSoiIgneous(SoiNgam1).,521.7199739905423
OppositeSoiIgneous(SoiNgam1).,RoadEyewear,496.06325276844495
RoadEyewear,NgamwongwarnSoi17,370.8373230347667
NgamwongwarnSoi17,PantipNgamwongwan,404.1005505061226
PantipNgamwongwan,OppositeTheMallNgamwongwan,478.98297875013395
OppositeTheMallNgamwongwan,PhongphetIntersection(SoiPhongPhetPhathana),507.39170721137407
PhongphetIntersection(SoiPhongPhetPhathana),F1Chinnakhet,366.36474850605583
F1Chinnakhet,ChinKhet2,358.67906009848116
ChinKhet2,KlongPremCentralPrison,395.2615069771698
KlongPremCentralPrison,KlongPremCentralPrisonOppositeElectricity.,419.30722602367047
KlongPremCentralPrisonOppositeElectricity.,KasetPratu3,370.0693879039909
KasetPratu3,KasetsartUniversity,402.1715079320875
KasetsartUniversity,AmonphanMarket,451.05975649401233
AmonphanMarket,KasetIntersection(Phahonyothin34/2),510.5163826697839
KasetIntersection(Phahonyothin34/2),MayoHospital,515.1845288975564
MayoHospital,OppositeThaivichitsilpArtSchool,509.35322308475315
OppositeThaivichitsilpArtSchool,MajorRatchayothin,381.3130844323463
MajorRatchayothin,ElephantBuilding,447.91398870278954
ElephantBuilding,SatriWoranatBangkhenSchool,441.1580227335093
SatriWoranatBangkhenSchool,CrimeSuppressionDivision,515.0738363774069
CrimeSuppressionDivision,TescoLotusLatphrao,461.44005724672354
TescoLotusLatphrao,OppositeCentralLadprao,396.36342806897414
OppositeCentralLadprao,TmbHeadquarter,463.9017886799824
TmbHeadquarter,BusStopBTSMoChit(Exit4),442.5686519778804
BusStopBTSMoChit(Exit4),OppositeChatuchakPark,448.6821599840902
OppositeChatuchakPark,OngkanTalatPhueaKasettakon,411.01407595234735
OngkanTalatPhueaKasettakon,OppositeJjMall,381.03256234687615
OppositeJjMall,OppositeQueenSirikitPark,431.7035382123749
OppositeQueenSirikitPark,Mochit2BusDepot,534.3894726124219
