from,to,distance
Mochit2BusDepot,QueenSirikitPark,418.4862456805462
QueenSirikitPark,JjMall,347.8549446102055
JjMall,ChatuchakMarket(Gate1),330.6442771773342
ChatuchakMarket(Gate1),BusStopBTSMoChit(Exit3),382.52934016523994
BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,404.4578265671808
OppositeTmbHeadquarterBank,BusStopMRTPhahonyothin(Exit3),396.9320743098353
BusStopMRTPhahonyothin(Exit3),LatPhraoIntersection(LatPhraoSoi1),401.0566567055324
LatPhraoIntersection(LatPhraoSoi1),OppositeSa-NguanSaoOToKhae,338.20419349050275
OppositeSa-NguanSaoOToKhae,ThanakhanThaiphanitLatPhrao,302.01427164420636
ThanakhanThaiphanitLatPhrao,BigCLatPhrao,302.2189690641596
BigCLatPhrao,LatPhraoSoi20,375.41860957539376
LatPhraoSoi20,SoiLatPhrao17,434.79899316030793
SoiLatPhrao17,YaekLatPhrao-RatDa,291.8947082891108
YaekLatPhrao-RatDa,LatPhraoSoi40,298.95085039248596
LatPhraoSoi40,LatPhraoSoi35,378.2515206303395
LatPhraoSoi35,PhawanaLatPhraoSoi41,294.2065202226196
PhawanaLatPhraoSoi41,LatPhrao41/1,347.9668973193615
LatPhrao41/1,RongrianPhibunUpatham,300.978607429252
RongrianPhibunUpatham,LatPhraoSaphan2Market,391.8532007137438
LatPhraoSaphan2Market,SathaniTamruatChokChai,436.2442032008267
SathaniTamruatChokChai,ChokChai4,425.5325979968895
ChokChai4,LatPhraoSoi57/1,425.03310241918007
LatPhraoSoi57/1,SueksaPhanLatPhrao,385.4278635500297
SueksaPhanLatPhrao,LatPhaoPostOffice,306.68616438377245
LatPhaoPostOffice,LatPhraoSoi67OppositeLatPhraoSoi80,333.9061880538219
LatPhraoSoi67OppositeLatPhraoSoi80,KraenWinlet,431.6666091491175
KraenWinlet,LatPhrao79,408.3820048096588
LatPhrao79,ImperialLatPhrao,408.5787653878825
ImperialLatPhrao,SamnaknganKhetWangThonglang,346.31740338502686
SamnaknganKhetWangThonglang,OppositeBangkokSuksaSchool,351.1159499752361
OppositeBangkokSuksaSchool,SoiLatPhrao93,387.7348633135054
SoiLatPhrao93,FutLaen,297.5092241967319
FutLaen,LatPhraoHospital,326.6645382641086
LatPhraoHospital,RongrianPhasaAngkritSanti,397.2198325961633
RongrianPhasaAngkritSanti,OppositeLatPhraoSoi126,333.6788839502243
OppositeLatPhraoSoi126,RongrianTriamSueksaBangKapi,294.46485791604067
RongrianTriamSueksaBangKapi,LatPhrao107,301.33694726225167
LatPhrao107,WetThaNi,382.57141447021735
WetThaNi,SoiLatPhrao111,315.65236512596323
SoiLatPhrao111,NMarkPlaza(Nomchit),411.7761869385535
NMarkPlaza(Nomchit),BangKapiMarket(LatPhraoSoi127),413.8344306019537
BangKapiMarket(LatPhraoSoi127),SonoLatPhrao,366.37890762460876
SonoLatPhrao,MuatKanThangBangKapi,313.5043623474527
MuatKanThangBangKapi,RongrianBanBangKapi,416.8129914371341
RongrianBanBangKapi,OppositeKankhehahaengchat,401.0399711420628
OppositeKankhehahaengchat,OppositeKhlongChanStadium(Navamin33),329.3188467689785
OppositeKhlongChanStadium(Navamin33),MubanWangtong,399.36260168808667
MubanWangtong,KromThidinBangKapi,302.8480987194209
KromThidinBangKapi,OppositeMubanSiNakhon1OppositeMubanSiNakhon1,338.72001199162463
OppositeMubanSiNakhon1OppositeMubanSiNakhon1,RongrianSoMapha2,337.9881522373115
RongrianSoMapha2,SoiPhuengBun(NawaMin69)OppositeMubanPricha,320.9564038730573
SoiPhuengBun(NawaMin69)OppositeMubanPricha,TalatInThraRak,397.9558888302683
TalatInThraRak,NawaMin83OppositeSantiAsok,391.6427723009366
NawaMin83OppositeSantiAsok,SantiAsoke(SoiPrinSiriNavamin).,383.15571107676664
SantiAsoke(SoiPrinSiriNavamin).,PrakanSangkhomNawaminSoi56,374.48878374593016
PrakanSangkhomNawaminSoi56,SoiPhoKaeoOppositeWatBangToei,433.9288057843532
SoiPhoKaeoOppositeWatBangToei,MubanSamakkhi,415.56607497682194
MubanSamakkhi,NuanchanMarket,432.17388321148775
NuanchanMarket,OppositeTalatPatWiKon,418.31678389323673
OppositeTalatPatWiKon,OppositeRongrianBadinDeCha2,372.31453673486794
OppositeRongrianBadinDeCha2,OppositeRongrianBenchaMin,298.0286308115395
OppositeRongrianBenchaMin,NawaMinSoi135,398.04232793489444
NawaMinSoi135,KhehaNawaMin,310.71056779655663
KhehaNawaMin,OppositeNawaminSoi86,425.62811749218787
OppositeNawaminSoi86,OppositePhyathaiNawaminHospital,380.0072023096295
OppositePhyathaiNawaminHospital,NawaMin151MubanUeangSuk,417.41295117727583
NawaMin151MubanUeangSuk,RongrianNawaMitRaChuThit(SinghaSeni),294.37942131253607
RongrianNawaMitRaChuThit(SinghaSeni),ChonKheBuaPostOfficeSahaFam,424.40807133112395
ChonKheBuaPostOfficeSahaFam,NawaMin163SoiAmonWiwatKomo8,360.44935193015573
NawaMin163SoiAmonWiwatKomo8,Komo8RamInThra52SunNitSanPamPariToNat,407.1369662506604
Komo8RamInThra52SunNitSanPamPariToNat,OppositeSynphaetHospital,414.98710582852294
OppositeSynphaetHospital,RamInThra89YueangPamEsSo,342.1583243339121
RamInThra89YueangPamEsSo,FashionIsland,289.05421280132475
FashionIsland,ThanakhanKrungthaiRamInThra,397.1320723091103
