from,to,distance
PomSwatSchool,SamYaekChedi(Inbound),528.6812408389451
SamYaekChedi(Inbound),SukSawatRoadOppositeSoiSukSawatNiwet,457.3691165876585
SukSawatRoadOppositeSoiSukSawatNiwet,SukSawatRoadMubanRomYenNiwet,542.9017584250511
SukSawatRoadMubanRomYenNiwet,BanphakTamruatNam,409.5492089643075
BanphakTamruatNam,SoiPrint,481.5412027284178
SoiPrint,SoiCable,457.7689368633669
SoiCable,SoiWatKhuSang(ThanonSukSawat),397.0213062759465
SoiWatKhuSang(ThanonSukSawat),WatChungrueng,508.91088358058744
WatChungrueng,SukSawatSoi74,448.29947203744496
SukSawatSoi74,OppositeRatchaprachaSchool,551.5221320922607
OppositeRatchaprachaSchool,PhraPradaeng(RachPracha)BusDepot,549.8749427369629
PhraPradaeng(RachPracha)BusDepot,Isusu,430.7071151745462
Isusu,SukSawat64,546.6328359001844
SukSawat64,OppositeBigCSukSawat,413.04672811234536
OppositeBigCSukSawat,YaekPhraPradaeng,434.0476689276604
YaekPhraPradaeng,MajorPhrapradaeng(TangRadapWongwaen),388.4230578346287
MajorPhrapradaeng(TangRadapWongwaen),OppositeSoiWatRuak,426.24884574459554
OppositeSoiWatRuak,OppositeWatSon,480.5255500439933
OppositeWatSon,SoiDekKamPra,433.0854549896265
SoiDekKamPra,SuksawatKm.9,403.1583732965629
SuksawatKm.9,WatSarod,521.5624774975885
WatSarod,OppositeBangpakokMarket,477.58750220513303
OppositeBangpakokMarket,SukSawatSoi34,536.2633022268101
SukSawatSoi34,SuksawatSoi30,413.6915867579457
SuksawatSoi30,OppositeWatBangPaKok,514.5045602986972
OppositeWatBangPaKok,OppositeBigCBangPrakok,543.7639643769162
OppositeBigCBangPrakok,TalatBangPaKaeo,444.98293599118574
TalatBangPaKaeo,WatNakNiMitSukSawat8,402.34993573527686
WatNakNiMitSukSawat8,SoiPlangAnuson,453.03073968356426
SoiPlangAnuson,Daokhanong,479.85044315156784
Daokhanong,BigCDaoKhanong,528.3649212929788
BigCDaoKhanong,RongrianSaengThongThorathat,448.01466200886324
RongrianSaengThongThorathat,RongKaeo,477.24983010459994
RongKaeo,SomdejprapinklaoHospital,428.0635871322768
SomdejprapinklaoHospital,OppositeSamreMarket,523.9480839924141
OppositeSamreMarket,KrungThonBuriHospital,484.91267531709696
KrungThonBuriHospital,RobinsonLatya,362.4972204286416
RobinsonLatya,TotLatya,422.7299684490882
TotLatya,Latya11,481.4157422032
Latya11,SoiThaDindaeng,384.32165624894174
SoiThaDindaeng,OppositeKulsiriSchool,548.1695925202404
OppositeKulsiriSchool,TalatThaDindaeng,499.8238962595933
TalatThaDindaeng,ThaNamDindaeng,333.58488496229
