from,to,distance
ViriyawongBusDepot,BigCKahaRam2,402.6196923734547
BigCKahaRam2,PhraRam2Hospita,466.0843174605728
PhraRam2Hospita,NationalHousingBang,410.41478544187703
NationalHousingBang,YaekHuaKrabue,433.82636732929245
YaekHuaKrabue,OppositeBangKhunThianDistrictOffice,510.8322500318726
OppositeBangKhunThianDistrictOffice,CentralRama2,431.75056306781454
CentralRama2,OppositeThaKham,472.75259138962457
OppositeThaKham,SanChaomaeNgu,406.54214904142475
SanChaomaeNgu,WatKok,503.40038817526187
WatKok,Bangmod,502.63657536543707
Bangmod,ThanakhanAkhanSongkhro,443.86434287274585
ThanakhanAkhanSongkhro,SamakhomHinNaenHaengPrathetThai,375.7126937121916
SamakhomHinNaenHaengPrathetThai,WatSisuk,528.3184005134772
WatSisuk,ChanPhring,536.9201617541398
ChanPhring,ToyotaCenterWatPuttabucha,380.90961456184436
ToyotaCenterWatPuttabucha,Bangpakokhospita,448.8814400808302
Bangpakokhospita,Pothong,428.0554858053174
Pothong,JomthongDistrict,408.29693538470315
JomthongDistrict,TalatBangPaKaeo,531.2742185045412
TalatBangPaKaeo,WatNakNiMitSukSawat8,420.7031267388828
WatNakNiMitSukSawat8,SoiPlangAnuson,381.7602090413377
SoiPlangAnuson,Daokhanong,491.3995833573049
Daokhanong,BigCDaoKhanong,401.2962855594393
BigCDaoKhanong,MahaiSawan,420.0550309629921
MahaiSawan,RatchadaphisekSoi5,503.767547653562
RatchadaphisekSoi5,ThanachartBank,386.96237971106746
ThanachartBank,OppositeTheMallThapra,535.060272579538
OppositeTheMallThapra,Ratchada-ThaPhraHospital,493.2704827161024
Ratchada-ThaPhraHospital,ThaPhraIntersection,523.5025917252441
ThaPhraIntersection,WatPraduNaiSongtham,510.13422787482256
WatPraduNaiSongtham,OppositeViboonCollege,453.7275174516357
OppositeViboonCollege,WatNuannoradit,507.69405511309526
WatNuannoradit,Phyathai3Hospital,473.1377019042407
Phyathai3Hospital,SermitPhetkasemSoi25/1,529.7711741977438
SermitPhetkasemSoi25/1,BusStopBTSBangwa(Exit4),453.7203161275817
BusStopBTSBangwa(Exit4),OppositeSiamUniversity,391.95710564899827
OppositeSiamUniversity,Phetkasem27/1,374.12240087775183
Phetkasem27/1,OppositePhetkasem42,412.4666055100766
OppositePhetkasem42,OppositeKhundanChaoporsuaShrine,412.09466664311725
OppositeKhundanChaoporsuaShrine,OppositeWatChanpradittharam,446.3685579310198
OppositeWatChanpradittharam,Kan-AriSportClub,476.7297834896535
Kan-AriSportClub,WatRangbua,456.8192661847297
WatRangbua,RedCrossStation11(Wisetniyom),395.9865833025566
RedCrossStation11(Wisetniyom),SeaconBangkae,379.2862796445985
SeaconBangkae,Phetkasem39,412.9378889931897
Phetkasem39,BangkaeHomeFoundation,421.2333375418114
BangkaeHomeFoundation,BangkaeMarket,542.7774571553007
BangkaeMarket,OppositeTescoLotusBangkae,521.1560238228177
OppositeTescoLotusBangkae,NanyangIndustrial,454.2023761168753
NanyangIndustrial,CastlePeakCompany,541.005920907843
CastlePeakCompany,Phetkasem45/1,372.95504530366196
Phetkasem45/1,OppositeTheMallBangkae,511.1038106422552
OppositeTheMallBangkae,NawiCharoenSap,532.0296299313118
NawiCharoenSap,PamKhanThekKanchanaPhiSek,383.61322673045487
PamKhanThekKanchanaPhiSek,KanchanaPhiSek,538.9529889937883
KanchanaPhiSek,OppositeWongwaenCenter,523.1438848046696
OppositeWongwaenCenter,NatheeGolf,361.1453143463636
NatheeGolf,MakroBangbon,491.75047011000913
MakroBangbon,MubanBangBonBangBon2,428.34279058907606
MubanBangBonBangBon2,PamnamManPotothoKanchanaPhiSek,455.909862926106
PamnamManPotothoKanchanaPhiSek,RongphayabanBangkok8International,394.02186916744995
RongphayabanBangkok8International,PamkaetLpg,402.4837208955717
PamkaetLpg,OppositeMubanPhetWongwaen,541.341291197082
OppositeMubanPhetWongwaen,SakaeNgam,370.283120225402
SakaeNgam,PhraRamThi2Soi66,551.4331771675107
PhraRamThi2Soi66,ViriyawongBusDepot[TransferStop],362.5093564786219
