from,to,distance
HuayKhwangFireStationSatharanasuk52,TalatHuaiKhwangLangRongrienSamSenNok,338.6597603652119
TalatHuaiKhwangLangRongrienSamSenNok,ThanakhanKrungthaiSakhaHuaiKhwang,337.3693774809748
ThanakhanKrungthaiSakhaHuaiKhwang,HoNalikaHuaiKhwang,301.2728567918756
HoNalikaHuaiKhwang,OppositeTvcCondominium,377.2819123670644
OppositeTvcCondominium,OppositeWatPhromWongSaram,331.92161093919145
OppositeWatPhromWongSaram,DdTower,360.780485859082
DdTower,PrachaSongkhro16-18,283.467404590241
PrachaSongkhro16-18,Prompan,361.13174739026203
Prompan,OppositeHealthCenter4,303.3404537983345
OppositeHealthCenter4,OppositeWichutitSchool,299.9087972098916
OppositeWichutitSchool,OppositeDindaengMarket,321.3891886315164
OppositeDindaengMarket,OppositeDindaengHousingOffice,312.9618308855009
OppositeDindaengHousingOffice,PrachaSongkhro2,319.31530320360025
PrachaSongkhro2,DindaengHousing(Stop.1),297.9427564976028
DindaengHousing(Stop.1),DindaengHousing(Stop.2),281.1212179641131
DindaengHousing(Stop.2),OppositePiboonPrachasanSchool,281.26878599645295
OppositePiboonPrachasanSchool,SriwanitMarket,389.3326323279655
SriwanitMarket,SantiphapPark,353.8451050616952
SantiphapPark,VictoryMonument(RatchawithiSide),327.41219665508925
VictoryMonument(RatchawithiSide),ChildrenHospital,274.28323789378754
ChildrenHospital,TheBangkokSchoolForTheBlind,346.824635383063
TheBangkokSchoolForTheBlind,RajvithiHome(Rama6Side),366.84710323009125
RajvithiHome(Rama6Side),MaensirMwaOffice,380.19172465638627
MaensirMwaOffice,SukhoThai13,376.76910309307306
SukhoThai13,SukhoThai5,276.706502448015
SukhoThai5,RestaurantBaanSukhothaiSoi9,403.4441829297617
RestaurantBaanSukhothaiSoi9,RongrianSukhothai,340.8689559958956
RongrianSukhothai,OppositeSamnaknganKhetDusit,351.9279202698834
OppositeSamnaknganKhetDusit,OppositeSuanChittralada,337.76266170167685
OppositeSuanChittralada,Pantawattana,278.60020214200875
Pantawattana,SinlapacheepShop,400.751878057689
SinlapacheepShop,Saunruenrudee,376.4719015988168
Saunruenrudee,MorRachapatsuandusit,292.1465951728709
MorRachapatsuandusit,OppositeDepartmentOfDisasterPreventionAndMitigation,304.27049885965926
OppositeDepartmentOfDisasterPreventionAndMitigation,Wangsuankulap,347.11919564190055
Wangsuankulap,KuruSapa,398.9469351731177
KuruSapa,WatMakutkasat,278.10396374712053
WatMakutkasat,RoyalThaiArmyHeadquarters,338.3241123295866
RoyalThaiArmyHeadquarters,HotelDe'Moc,308.9450432797171
HotelDe'Moc,SaphanWanChat,296.13664641217025
SaphanWanChat,WatRatchaNatdaRamRoyalPavillionMahajetsadabadin,350.53625722196864
WatRatchaNatdaRamRoyalPavillionMahajetsadabadin,SalaWaKanKrungthepmahanakhon,343.6656296932526
SalaWaKanKrungthepmahanakhon,WatSuthat,357.86357675842413
WatSuthat,SaoChingcha,309.0362329364203
SaoChingcha,ChaloemKrung,328.42429391365357
ChaloemKrung,TerritorialDefenseCommand,414.5601569177822
TerritorialDefenseCommand,SuanChaoChet,364.2920139038044
SuanChaoChet,WatRatchabopitSchool,276.45541462274025
