from,to,distance
PaiWatKlang,YaekPhraPradaeng,1133.4704522066836
YaekPhraPradaeng,MajorPhrapradaeng(TangRadapWongwaen),1355.237126888899
MajorPhrapradaeng(TangRadapWongwaen),OppositeSoiWatRuak,951.0449733052526
OppositeSoiWatRuak,OppositeWatSon,952.0616775963099
OppositeWatSon,SoiDekKamPra,1364.3844217270755
SoiDekKamPra,SuksawatKm.9(ToExpressway),1177.1991038604654
SuksawatKm.9(ToExpressway),VeteransHospital,1238.2409576816876
VeteransHospital,ThisSecondarySchool,940.4240170716089
ThisSecondarySchool,OppositeUtcc,1399.4740554048817
OppositeUtcc,ArmyStadium,1317.7745129353818
ArmyStadium,ArmyClub,1290.8722668107368
ArmyClub,BangkokPanGroupBusiness,1250.1212121790297
BangkokPanGroupBusiness,SutthisanIntersection(ViphavadiRangsitRoad),1050.218329222318
SutthisanIntersection(ViphavadiRangsitRoad),AkhanAmata,1118.5549034339679
AkhanAmata,Children'SPalaceViphawadiSoi3OppositeChockchairuammit,1340.2793469709582
Children'SPalaceViphawadiSoi3OppositeChockchairuammit,5Viphawadi,1049.0354825840045
5Viphawadi,OppositeosedThaiAirwaysInternational(Headquarters),980.4675902356279
OppositeosedThaiAirwaysInternational(Headquarters),ThaiYonRat,1339.247144051354
ThaiYonRat,Mahanakhon,1204.5058195122335
Mahanakhon,TmbHeadquarter,1170.9320959472361
TmbHeadquarter,BusStopBTSMoChit(Exit4),1308.05720445304
BusStopBTSMoChit(Exit4),OppositeJjMall,1159.633770467992
OppositeJjMall,OppositeQueenSirikitPark,964.5589445187669
OppositeQueenSirikitPark,Mochit2BusDepot,884.6501837724496
