from,to,distance
ThaRotSai105,TalatMahachaiMueangMai,942.8508766651978
TalatMahachaiMueangMai,OppositeTalatMahachaiMueangMai,823.6648195497394
OppositeTalatMahachaiMueangMai,WatRaSotRangsan,728.6649870716391
WatRaSotRangsan,HiNoChaiRatKan,658.2741863212253
HiNoChaiRatKan,BangNamchuet,842.0231636675055
BangNamchuet,OppositeWatPhanThaiNorasing,645.5901990006174
OppositeWatPhanThaiNorasing,OppositeWatThaenWanDi,758.6426197820073
OppositeWatThaenWanDi,Rama2Soi100,828.2060895617568
Rama2Soi100,Rama2Soi94,932.2724595111124
Rama2Soi94,KhlongRaHan,691.580048056265
KhlongRaHan,ForemostSoiPost,841.4253949422618
ForemostSoiPost,SoiPhraRamThi2Soi86,890.4073722462476
SoiPhraRamThi2Soi86,BangKadi(Rama2),768.2180226570374
BangKadi(Rama2),AmonChai4,889.6985663574833
AmonChai4,MubanPhraRam2,882.1120538877622
MubanPhraRam2,SakaeNgam,844.259326490853
SakaeNgam,PhraRamThi2Soi66,850.6748417655531
PhraRamThi2Soi66,BigCKahaRam2,892.5064944075441
BigCKahaRam2,PhraRam2Hospita,751.1180721783459
PhraRam2Hospita,NationalHousingBang,833.2060792076473
NationalHousingBang,YaekHuaKrabue,884.0399376330473
YaekHuaKrabue,OppositeBangKhunThianDistrictOffice,936.9769152968971
OppositeBangKhunThianDistrictOffice,CentralRama2,863.5904951673259
CentralRama2,OppositeThaKham,655.363611830842
OppositeThaKham,SanChaomaeNgu,857.4776755692579
SanChaomaeNgu,WatKok,651.9453421910223
WatKok,Bangmod,680.4718378613298
Bangmod,SamakhomHinNaenHaengPrathetThai,867.8082395696413
SamakhomHinNaenHaengPrathetThai,ThanakhanAkhanSongkhro,789.3698233078865
ThanakhanAkhanSongkhro,WatSisuk,637.9879852004736
WatSisuk,ChanPhring,743.5854541680435
ChanPhring,ToyotaCenterWatPuttabucha,794.7413178118221
ToyotaCenterWatPuttabucha,Bangpakokhospita,801.6979296320076
Bangpakokhospita,Pothong,849.3743923350479
Pothong,JomthongDistrict,738.0378329405877
JomthongDistrict,TalatBangPaKaeo,934.013018103105
TalatBangPaKaeo,WatNakNiMitSukSawat8,726.6127311536056
WatNakNiMitSukSawat8,SoiPlangAnuson,740.482854569012
SoiPlangAnuson,Daokhanong,850.8684114280522
Daokhanong,BigCDaoKhanong,867.5336709310933
BigCDaoKhanong,OppositeRongrianSaengThongThorathat,907.8357217169321
OppositeRongrianSaengThongThorathat,RongKaeo,800.409909016587
RongKaeo,SomdejprapinklaoHospital,899.5574319724088
SomdejprapinklaoHospital,OppositeSamreMarket,741.772979025824
OppositeSamreMarket,KrungThonBuriHospital,662.1406091503412
KrungThonBuriHospital,BusStopBTSWongwianyai(Exit3),719.5594787908728
BusStopBTSWongwianyai(Exit3),BusStopBTSKrungthonburiBusTerminal,882.7783786067934
BusStopBTSKrungthonburiBusTerminal,KrungthonburiJunctionTowardsRiver,828.4350756708099
KrungthonburiJunctionTowardsRiver,WatSuwan,643.5930081148027
WatSuwan,OppositeKlongsanMarket,746.5422579067256
