from,to,distance
NakhonInBusDepot,WatSangkhathan,452.319862492279
WatSangkhathan,Pongsawass,349.45166434608046
Pongsawass,TalatNon,428.63512992869164
TalatNon,OppositeSoiPrachaRat13,447.60726796683406
OppositeSoiPrachaRat13,RongrianThetsaban2,381.5317872582249
RongrianThetsaban2,TrongkhamRongrianKhrittianWitthayaAllRightsChai,350.28711546230716
TrongkhamRongrianKhrittianWitthayaAllRightsChai,OppositeRongrianWatLanNaBun,400.8426931243057
OppositeRongrianWatLanNaBun,BigCNonthaburi,361.91252887746947
BigCNonthaburi,OppositeKrasuangSatharanasuk,366.31523167179625
OppositeKrasuangSatharanasuk,SoiTiwanon3,430.05203066429675
SoiTiwanon3,Rawadee,351.88058294364725
Rawadee,OppositeSoiPinPraphaKhom1,482.0583290186055
OppositeSoiPinPraphaKhom1,OppositeSoiIgneous(SoiNgam1).,339.736870528293
OppositeSoiIgneous(SoiNgam1).,RoadEyewear,461.0749330665651
RoadEyewear,NgamwongwarnSoi17,483.274091836348
NgamwongwarnSoi17,PantipNgamwongwan,484.2785608192718
PantipNgamwongwan,OppositeTheMallNgamwongwan,345.17833506629603
OppositeTheMallNgamwongwan,PhongphetIntersection(SoiPhongPhetPhathana),484.9490732705762
PhongphetIntersection(SoiPhongPhetPhathana),F1Chinnakhet,361.5342222311165
F1Chinnakhet,ChinKhet2,476.3584126893507
ChinKhet2,KlongPremCentralPrison,370.7915358182644
KlongPremCentralPrison,KlongPremCentralPrisonOppositeElectricity.,428.303752169309
KlongPremCentralPrisonOppositeElectricity.,KasetPratu3,413.12237215352826
KasetPratu3,KasetsartUniversity,373.6005224344878
KasetsartUniversity,KasetIntersection(Phahonyothin34/2),417.10252414690655
KasetIntersection(Phahonyothin34/2),MayoHospital,410.7352134712971
MayoHospital,OppositeThaivichitsilpArtSchool,500.92645292076065
OppositeThaivichitsilpArtSchool,MajorRatchayothin,449.65734534963815
MajorRatchayothin,ElephantBuilding,376.47666659777883
ElephantBuilding,SatriWoranatBangkhenSchool,434.75994367423283
SatriWoranatBangkhenSchool,CrimeSuppressionDivision,416.1421105484173
CrimeSuppressionDivision,TescoLotusLatphrao,390.8066487404484
TescoLotusLatphrao,OppositeCentralLadprao,441.67846536842507
OppositeCentralLadprao,TmbHeadquarter,342.511707765028
TmbHeadquarter,OppositeChatuchakPark,346.97518219626375
OppositeChatuchakPark,DepartmentOfLandTransport,438.09117674802565
DepartmentOfLandTransport,Phahonyothin18,512.9322842450626
Phahonyothin18,OppositeWatPhaiton,427.824845339536
OppositeWatPhaiton,BusStopBTSSaphanKhwai(Exit2),354.9931328480381
BusStopBTSSaphanKhwai(Exit2),BangsuePoliceStation,512.9462489706452
BangsuePoliceStation,SaiLom(Phahonyothin8),493.7870263590286
SaiLom(Phahonyothin8),BusStopBTSAri(Exit4),356.33926785470095
BusStopBTSAri(Exit4),Ratchakhru(OppositePhahonyothin5),453.75373199754966
Ratchakhru(OppositePhahonyothin5),Kanchanakom(Phahonyothin2),402.6791975144458
Kanchanakom(Phahonyothin2),BusStopBTSSanampao(Exit4),378.1973827436484
BusStopBTSSanampao(Exit4),Channel5,442.6910861385271
Channel5,LueCha(OppositePhahonyothin1),523.1474952978338
LueCha(OppositePhahonyothin1),VictoryMonument(PhahonYothinSide),349.74795732582163
