from,to,distance
SamnaknganKhetBangBon,PamkaetLpg,386.87896737066666
PamkaetLpg,OppositeMubanPhetWongwaen,377.35998119710325
OppositeMubanPhetWongwaen,SakaeNgam,488.9572589451171
SakaeNgam,PhraRamThi2Soi66,528.9215496311011
PhraRamThi2Soi66,BigCKahaRam2,419.95485626638555
BigCKahaRam2,PhraRam2Hospita,423.4954068561391
PhraRam2Hospita,NationalHousingBang,489.7678670150342
NationalHousingBang,YaekHuaKrabue,487.8257944965674
YaekHuaKrabue,SoiMuangSakul,557.6784039337795
SoiMuangSakul,SirinusornWittayaSchool,435.40083127547695
SirinusornWittayaSchool,SoiSahaasia,413.1881976426816
SoiSahaasia,MaxValueBangbon,542.7130485986677
MaxValueBangbon,TalatsotEkkachai,408.62892553127955
TalatsotEkkachai,BangBonHospital,502.6490518291953
BangBonHospital,RongrianWichaiWitthaya,484.39653725282074
RongrianWichaiWitthaya,OppositeBigCEkkachai,499.2840719490105
OppositeBigCEkkachai,SoiEkkachai46,524.4248047933557
SoiEkkachai46,EkkachaiSoi40,424.76323677459027
EkkachaiSoi40,OppositeMatthayornWatsingSchool,544.2727077022831
OppositeMatthayornWatsingSchool,EkkachaiSoi35/2,499.95406680482006
EkkachaiSoi35/2,SoiEkkachai30,513.4654820768405
SoiEkkachai30,SoiEkkachai24,380.0504714765636
SoiEkkachai24,SoiEkkachai16,480.18198458127523
SoiEkkachai16,SoiEkkachai10/1,421.3459634184091
SoiEkkachai10/1,SoiEkkachai10,510.0868751256513
SoiEkkachai10,SoiEkkachai2,526.6285456975078
SoiEkkachai2,SoiLoetNuea-LoetTai,431.17849662238854
SoiLoetNuea-LoetTai,ThiamSapOmKan3/2,527.4074762146835
ThiamSapOmKan3/2,WatMakluea,471.354704613265
WatMakluea,Daokhanong,448.55655102128196
Daokhanong,BigCDaoKhanong,387.9871282778035
BigCDaoKhanong,RongrianSaengThongThorathat,449.5120948764128
RongrianSaengThongThorathat,RongKaeo,450.06794665189915
RongKaeo,SomdejprapinklaoHospital,446.79711684382033
SomdejprapinklaoHospital,OppositeSamreMarket,382.3442473904302
OppositeSamreMarket,KrungThonBuriHospital,444.2002873723197
KrungThonBuriHospital,TaksinIntersection,490.45786162255746
TaksinIntersection,BusStopBTSWongwianyai(Exit3),532.6816145971255
BusStopBTSWongwianyai(Exit3),SinnsathornTower,392.5897025258876
SinnsathornTower,BusStopBTSKrungthonburi(Exit1),523.5475471012744
BusStopBTSKrungthonburi(Exit1),BusStopBTSKrungthonburiBusTerminal,554.4108865725875
BusStopBTSKrungthonburiBusTerminal,BusStopBTSKrungthonburi(Exit3),412.53761807122885
BusStopBTSKrungthonburi(Exit3),KrungthonburiJunctionTowardsRiver,430.4426383394384
KrungthonburiJunctionTowardsRiver,WatSuwan,436.8262655147382
WatSuwan,OppositeKlongsanMarket,514.8249275285383
