from,to,distance
MubanRawadee,WatTinnakorn,622.682103469705
WatTinnakorn,SoiPrachaRat11,715.3881053409464
SoiPrachaRat11,NonthaburiPier,547.4247355028245
NonthaburiPier,MajorNontaburi,740.0560803040925
MajorNontaburi,AyudayaBank,650.3140995485478
AyudayaBank,RongrianKaRanSueksa,701.8907550442588
RongrianKaRanSueksa,WatNakhonIn,517.7551181203064
WatNakhonIn,SoiWatKamphaeng,560.9870377681908
SoiWatKamphaeng,PamnamManEsso,524.1058905790009
PamnamManEsso,SawitBa,702.8549696397007
SawitBa,KhondoWiktoeRai,760.2395276825617
KhondoWiktoeRai,SoiPhilaSongkhram14,664.5230757191453
SoiPhilaSongkhram14,WatKhamao,517.5161579884391
WatKhamao,OppositeSatrinonthaburiSchool-WatPaknam,545.6885346582585
OppositeSatrinonthaburiSchool-WatPaknam,MubanPhibun,778.517439527361
MubanPhibun,OppositeBorisatPhunPhonChamkat,645.5638153471496
OppositeBorisatPhunPhonChamkat,Kmutnb,692.236460215369
Kmutnb,Rama7Bridge(Inbound),705.3794547877325
Rama7Bridge(Inbound),OppositeWatSoiThong,765.7558142330913
OppositeWatSoiThong,SiKhemaMarket(Inbound),557.9709705881404
SiKhemaMarket(Inbound),RongrianKunWan,605.1933625805361
RongrianKunWan,PracharatSai1Soi26,629.6758972716307
PracharatSai1Soi26,PracharatSai1Soi20,547.3675938846776
PracharatSai1Soi20,BangPhoFireStation,708.3045403136473
BangPhoFireStation,WatPradu,545.7164055666092
WatPradu,YaekKiakkai,532.6227826672904
YaekKiakkai,YanKro,730.2773160693403
YanKro,4ThCavalryDivisionKing'SGuard,679.5847328149393
4ThCavalryDivisionKing'SGuard,BangKaBue,615.9297989854822
BangKaBue,WatKromCholSoiSamsen22,721.2673491961049
WatKromCholSoiSamsen22,Sriyan,639.5167078443257
Sriyan,OppositeVajiraHospital,770.9888353694786
OppositeVajiraHospital,OppositeNationalLibrary,637.1979038615333
OppositeNationalLibrary,OppositeRmutpThewet,618.9133393368325
OppositeRmutpThewet,ThewetIntersection,518.2035307263936
ThewetIntersection,BangkunpomIntersection,562.8227175552953
BangkunpomIntersection,WatMaiAmataros,603.9768325392408
WatMaiAmataros,OppositePhranakhonDistrictOffice,725.8669207170005
OppositePhranakhonDistrictOffice,Sanamluang(OppositeThammasartU.),697.3999527750314
Sanamluang(OppositeThammasartU.),Sanamluang(OppositeWatMahathat),600.2144196123929
Sanamluang(OppositeWatMahathat),MinistryOfDefense,585.2208115644455
MinistryOfDefense,WatRatPradit,742.9032327142464
