from,to,distance
SoiSriMeritAsOppositeosedVibharam.,OppositeMeChoeHoLiWutPakKret,480.2327930737403
OppositeMeChoeHoLiWutPakKret,SupalaiVista,417.6326691626692
SupalaiVista,SoiChaengwattana-Pakkred11/1,422.1351229103841
SoiChaengwattana-Pakkred11/1,BigCChangwattana,403.50890940072907
BigCChangwattana,SoiChaengwattana-Pakkred15,399.7814990113691
SoiChaengwattana-Pakkred15,OppositeMubansrichaithong,416.01651600259885
OppositeMubansrichaithong,OppositeSoiChaengWatthana-PakKret26,463.0775246087354
OppositeSoiChaengWatthana-PakKret26,OppositeCentralChaengwattana,424.7159133950934
OppositeCentralChaengwattana,TheOppositeOfIntelligenceManagementSuksapiwat.AKindergartenVida,389.79975616575723
TheOppositeOfIntelligenceManagementSuksapiwat.AKindergartenVida,SoiChaengWatthana-PakKret31,373.9734485455169
SoiChaengWatthana-PakKret31,MubanChanyaNiWet,505.8244610683191
MubanChanyaNiWet,Chaengwattana-Pakkret41,363.44758761977437
Chaengwattana-Pakkret41,DuluxColour,429.10569226824947
DuluxColour,BigCChaengwattana,429.12746299986117
BigCChaengwattana,FirstAirDefenceRegiment,403.0468205373087
FirstAirDefenceRegiment,OppositeCatLaksi,480.28038138454497
OppositeCatLaksi,OppositeTotSamnaknganYai,482.7994503820885
OppositeTotSamnaknganYai,YaekLakSi,403.84800011522316
YaekLakSi,NangsuephimNaeona,359.48732638886
NangsuephimNaeona,PathaiudomSchool,428.29488308503295
PathaiudomSchool,SamoRotTamruatThaiPbs,384.57536056930064
SamoRotTamruatThaiPbs,Wiphawadi58,367.6642517023616
Wiphawadi58,RamaGardenHotel,444.7507503619897
RamaGardenHotel,DailynewsNewspaper,491.62213284737584
DailynewsNewspaper,RongnganYaKhun,505.3115724772018
RongnganYaKhun,MoKasetsat,495.2846105923586
MoKasetsat,PaiRotPrachamThangkanThangphiset,412.6640568972387
PaiRotPrachamThangkanThangphiset,ViphawadiHospital,472.5995640804796
ViphawadiHospital,BorisatToyotaWiphawadi46,478.69856680480984
BorisatToyotaWiphawadi46,OppositeWatSamian,470.8645670061722
OppositeWatSamian,SonoWiphawadiNosophoBanmueang,451.2318930166308
SonoWiphawadiNosophoBanmueang,SamnaknganKhetChatuchak,400.24744086703504
SamnaknganKhetChatuchak,AkhanChinnawat3BorisatTriPhet,430.4269641190479
AkhanChinnawat3BorisatTriPhet,RongrianHoWang,378.09678331697523
RongrianHoWang,TmbHeadquarter,395.12642218309816
TmbHeadquarter,OppositeChatuchakPark,488.63900987734064
OppositeChatuchakPark,DepartmentOfLandTransport,418.4945658840818
DepartmentOfLandTransport,Phahonyothin18,448.70295231821683
Phahonyothin18,OppositeWatPhaiton,332.6727563816767
OppositeWatPhaiton,BusStopBTSSaphanKhwai(Exit2),425.97010610846144
BusStopBTSSaphanKhwai(Exit2),PraDiPhatSoi20,383.0049509934255
PraDiPhatSoi20,RongraemMiDoHoten,481.0639079760848
RongraemMiDoHoten,SamnaknganLekhathikan,470.46120879143757
SamnaknganLekhathikan,PradiphatIntersection,325.98213743317757
PradiphatIntersection,OppositePradiphatSoi1,349.7398581927548
OppositePradiphatSoi1,KromthahanPuenyaiThi1RaksaPhra-Ong,372.67717980631045
KromthahanPuenyaiThi1RaksaPhra-Ong,KhosothoboSaphanDaeng,375.02232555825447
KhosothoboSaphanDaeng,OppositeRongrianChangAkatBamrungKromSanPhaWut,443.81698017749335
OppositeRongrianChangAkatBamrungKromSanPhaWut,SamosonThahanAkatBangSue,325.9019221623172
SamosonThahanAkatBangSue,WatThammaphitaramOppositeWatSaphanSoong,470.8921445867089
WatThammaphitaramOppositeWatSaphanSoong,OppositeTaopoonMansion,478.0255002695528
OppositeTaopoonMansion,BusStopMRTBangsue,353.6313385147765
