from,to,distance
SamaedamBusDepot,Rama2Soi94,398.2366281720051
Rama2Soi94,KhlongRaHan,501.0753761182035
KhlongRaHan,ForemostSoiPost,518.2112604163517
ForemostSoiPost,SoiPhraRamThi2Soi86,507.9923981784178
SoiPhraRamThi2Soi86,BangKadi(Rama2),431.2887567711517
BangKadi(Rama2),AmonChai4,386.72347861402824
AmonChai4,MubanPhraRam2,475.7248011715709
MubanPhraRam2,SakaeNgam,479.343719330891
SakaeNgam,PhraRamThi2Soi66,394.91525905296476
PhraRamThi2Soi66,BigCKahaRam2,529.1197343511557
BigCKahaRam2,PhraRam2Hospita,464.75966025559666
PhraRam2Hospita,NationalHousingBang,453.66233374436746
NationalHousingBang,YaekHuaKrabue,430.96750717283857
YaekHuaKrabue,OppositeBangKhunThianDistrictOffice,398.3310810788806
OppositeBangKhunThianDistrictOffice,CentralRama2,392.28115756635873
CentralRama2,OppositeThaKham,396.76321182178344
OppositeThaKham,SanChaomaeNgu,540.7219045845956
SanChaomaeNgu,WatKok,468.57222009658676
WatKok,Bangmod,523.6168830271542
Bangmod,SamakhomHinNaenHaengPrathetThai,386.9611389150225
SamakhomHinNaenHaengPrathetThai,ThanakhanAkhanSongkhro,477.7101496786193
ThanakhanAkhanSongkhro,WatSisuk,406.77269313496123
WatSisuk,ChanPhring,391.05934642396903
ChanPhring,ToyotaCenterWatPuttabucha,428.4344466923031
ToyotaCenterWatPuttabucha,Bangpakokhospita,408.8290634423283
Bangpakokhospita,Pothong,592.2608865072752
Pothong,JomthongDistrict,537.169028160429
JomthongDistrict,OppositeWatPhoKaew,534.2129251644521
OppositeWatPhoKaew,TalatBangPaKaeo,527.4724285303942
TalatBangPaKaeo,WatNakNiMitSukSawat8,400.1027452476262
WatNakNiMitSukSawat8,SoiPlangAnuson,490.9038576685146
SoiPlangAnuson,Daokhanong,414.09343517239
Daokhanong,BigCDaoKhanong,430.24735490941777
BigCDaoKhanong,RongrianSaengThongThorathat,581.0978783974954
RongrianSaengThongThorathat,RongKaeo,456.3573727950399
RongKaeo,SomdejprapinklaoHospital,452.4295623867032
SomdejprapinklaoHospital,OppositeSamreMarket,500.9689126774173
OppositeSamreMarket,TaksinIntersection,498.7083569740743
TaksinIntersection,BusStopBTSWongwianyai(Exit3),500.1292264878658
BusStopBTSWongwianyai(Exit3),SinnsathornTower,467.02570686974326
SinnsathornTower,BusStopBTSKrungthonburi(Exit1),452.6479425317752
BusStopBTSKrungthonburi(Exit1),CentralSilom,596.8108775150715
CentralSilom,PramuanJunction,477.08437935856574
PramuanJunction,OppositeWatKhaek,578.2023571912677
OppositeWatKhaek,DechoJunction(Outbound),488.36888690597414
DechoJunction(Outbound),TheBangkokChristianHospital,429.4883530590565
TheBangkokChristianHospital,LumphiniPark,427.0004431150263
LumphiniPark,LumphiniPark(InBound),429.5472384175183
LumphiniPark(InBound),OppositeSoiPhraChen,509.80002662161604
OppositeSoiPhraChen,OppositeSonoLumPhiNi,549.2892299006094
OppositeSonoLumPhiNi,GlassHouseAtSinthornOppositeTheUnitedStatesEmbassy,452.3530582462682
GlassHouseAtSinthornOppositeTheUnitedStatesEmbassy,PloenChitIntersection(CentrePointHotel),473.5073330075844
PloenChitIntersection(CentrePointHotel),BritishEmbassy,431.21042855357126
BritishEmbassy,Metro,647.999455479834
Metro,YaekPratunam,389.79692987849813
