from,to,distance
PriestHospital,OppositePhayathaiPoliceStation,418.9678099746672
OppositePhayathaiPoliceStation,RatchathewiDistrictOffice,403.1505977355855
RatchathewiDistrictOffice,ArmyMedicalDepartment,439.06972873637017
ArmyMedicalDepartment,VictoryMonument(PhahonYothinSide),373.35468959290387
VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),410.5588507133568
LueCha(Phahonyothin1),Phyathai2Hospital,385.34201999111747
Phyathai2Hospital,BusStopBTSSanampao(Exit1),378.6233255755926
BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),322.6247529771131
BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),334.03368161664343
Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),371.0703577856015
BusStopBTSAri(Exit3),BorderPatrolPolice,360.6647362862359
BorderPatrolPolice,SenaRuam(Phahonyothin11),347.29059943866673
SenaRuam(Phahonyothin11),PraDiPhatSoi20,350.13555864398745
PraDiPhatSoi20,RongraemMiDoHoten,305.85504416401454
RongraemMiDoHoten,SamnaknganLekhathikan,376.09403391668974
SamnaknganLekhathikan,OppositePradiphatSoi1,309.23864663244973
OppositePradiphatSoi1,KromthahanPuenyaiThi1RaksaPhra-Ong,424.4655227197216
KromthahanPuenyaiThi1RaksaPhra-Ong,OppositeRongrianChangAkatBamrungKromSanPhaWut,422.6186276229227
OppositeRongrianChangAkatBamrungKromSanPhaWut,SamosonThahanAkatBangSue,423.1052237493753
SamosonThahanAkatBangSue,WatThammaphitaramOppositeWatSaphanSoong,393.81091939133995
WatThammaphitaramOppositeWatSaphanSoong,OppositeTaopoonMansion,370.724765861122
OppositeTaopoonMansion,YaekTaopoon,379.3341964683703
YaekTaopoon,BusStopMRTBangsue,349.9233693972755
BusStopMRTBangsue,SoiPrachaNaruemit,311.4040275267449
SoiPrachaNaruemit,KasikornthaiBank,336.19046093197494
KasikornthaiBank,SoiKrungthep-Nonthaburi13,317.63976063386207
SoiKrungthep-Nonthaburi13,SoiKrungthep-Nonthaburi17,339.4259190707188
SoiKrungthep-Nonthaburi17,WatCherngWaiSoiKrungthep-Nonthaburi21/1,299.8459353392358
WatCherngWaiSoiKrungthep-Nonthaburi21/1,SoiKrungthep-Nonthaburi23/1ThorPhaFactory,416.0447403210796
SoiKrungthep-Nonthaburi23/1ThorPhaFactory,SoiKrungthep-Nonthaburi25BangSonMarket,382.85865573293023
SoiKrungthep-Nonthaburi25BangSonMarket,SoiKrungthep-Nonthaburi29,430.4548572318678
SoiKrungthep-Nonthaburi29,TrongKhamKromYutBorikarn,395.32370265564015
TrongKhamKromYutBorikarn,BigCWongsawang,404.8179543900692
BigCWongsawang,WatLiap,327.8775713673878
WatLiap,OppositeSoiWatluang,342.80452641126686
OppositeSoiWatluang,ThongkhamWatNoiOppositeWongSawangSoi15,316.42425848800235
ThongkhamWatNoiOppositeWongSawangSoi15,WongSawangSoi4,425.70963143462484
WongSawangSoi4,WatSaoHin,297.89116870961124
WatSaoHin,OppositeKmutnb,299.17596104988706
OppositeKmutnb,Rama7Bridge(Outbound),400.7011063179869
Rama7Bridge(Outbound),BoriBatPhunPhonChamkat,426.141677504345
BoriBatPhunPhonChamkat,BangOppositeTheVillagePibo,340.4449048497744
BangOppositeTheVillagePibo,SatrinonthaburiSchool-WatPaknam,440.4881068815621
SatrinonthaburiSchool-WatPaknam,RongrianWatKhamaoPhinTaRam,436.64498297089494
RongrianWatKhamaoPhinTaRam,GardenOppositeTheVillagePiboonSoi1SeniLight,372.57560592310324
GardenOppositeTheVillagePiboonSoi1SeniLight,CondoRiverRyanFlagsBar.,325.5099058740238
CondoRiverRyanFlagsBar.,SuanAhanNatPhop,345.66353137159564
SuanAhanNatPhop,OppositeSoiWatKamphaeng,427.51668027926974
OppositeSoiWatKamphaeng,Pongsawass,324.371605608106
Pongsawass,TalatNon,353.81416945296536
TalatNon,OppositeSoiPrachaRat13,422.59609402718365
OppositeSoiPrachaRat13,RongrianThetsaban2,308.3396085162927
RongrianThetsaban2,TrongkhamRongrianKhrittianWitthayaAllRightsChai,364.8875508202605
TrongkhamRongrianKhrittianWitthayaAllRightsChai,OppositeRongrianWatLanNaBun,333.9177782441304
OppositeRongrianWatLanNaBun,BigCNonthaburi,298.4488714789283
BigCNonthaburi,EntranceToTheMinistryOfPublicHealth.,390.4900399998625
EntranceToTheMinistryOfPublicHealth.,KrasuangSatharanasuk,359.4970143170974
