from,to,distance
SuanChaoChet,SaranRomPalace,462.1682192267121
SaranRomPalace,OppositeCharachonKlang,377.1326262439671
OppositeCharachonKlang,OppositeChalermkrung,405.6242463460912
OppositeChalermkrung,SinDamRong,396.32552027944246
SinDamRong,WatPhrarain,464.81091724628067
WatPhrarain,TalatWolachak,356.49498219892786
TalatWolachak,PrapaMaenSi,357.1982109875035
PrapaMaenSi,Mansri,401.2356172978938
Mansri,HuaChieawHospital,380.5965589221379
HuaChieawHospital,Yossae,465.94108077016466
Yossae,WatChamnihatthakarn,369.71780214621873
WatChamnihatthakarn,WatChaimongkolCharoenPhon,450.3580760652362
WatChaimongkolCharoenPhon,SathabanTheknoloyiPathumWan,498.1267909088124
SathabanTheknoloyiPathumWan,BangkokArt&CultureCenter,380.17329281083516
BangkokArt&CultureCenter,SiamCenter,428.36211042275244
SiamCenter,WatPathumWanaram,419.81195496428546
WatPathumWanaram,LangSuanBusStopBTSChitLom,428.40113403984014
LangSuanBusStopBTSChitLom,CentralChidlom,389.74207057756144
CentralChidlom,SoiNaiLaertBusStopBTSPloenChit,476.878030214235
SoiNaiLaertBusStopBTSPloenChit,SoiNana,496.48837687906604
SoiNana,PacificFellBuildingSoiSukhumvit7,458.82806987126315
PacificFellBuildingSoiSukhumvit7,SukhumvitSoi15,401.99360588799755
SukhumvitSoi15,Sukhumvit19Robinson,445.50961415873076
Sukhumvit19Robinson,SukhumvitSoi23,371.51217942117137
SukhumvitSoi23,Sukhumvit27SainamphuengSoi22,360.79203531747714
Sukhumvit27SainamphuengSoi22,SoiSukhumvit31,404.79756465308554
SoiSukhumvit31,Suanbenjasiri,439.5266797106983
Suanbenjasiri,Emquartier,375.0707844684998
Emquartier,SukhumvitSoi41,448.4339908451557
SukhumvitSoi41,SukhumvitSoi47,434.3326438577939
SukhumvitSoi47,Sukhumvit49(Soi49),452.9438519289189
Sukhumvit49(Soi49),SoiSukhumvit34,438.77133218216653
SoiSukhumvit34,BusStopBTSThonglo(Exit1),429.95290171608633
BusStopBTSThonglo(Exit1),SukhumvitSoi57,434.4940442123901
SukhumvitSoi57,SoiSukhumvit40(Unesco),425.88055748363143
SoiSukhumvit40(Unesco),MajorEkamai,398.42526423899085
MajorEkamai,WatThatthong,379.9326115409605
WatThatthong,PaiRongrianSiWiKonSoiSukhumvit65/1,464.5482401831969
PaiRongrianSiWiKonSoiSukhumvit65/1,BusStopBTSPhraKhanong(Exit3),444.25696519163057
BusStopBTSPhraKhanong(Exit3),PhraKhanongMarket,381.9621366601359
PhraKhanongMarket,DapphloengOnNut,331.1569600090651
DapphloengOnNut,Sukhumvit79,406.43773773926426
Sukhumvit79,PaiSukhumvit81(Soi81SiriPhot),477.30767211878424
PaiSukhumvit81(Soi81SiriPhot),SunkankhaMaketPhlat(KhetPhraKhanong),409.37247697918235
SunkankhaMaketPhlat(KhetPhraKhanong),TalatBangChak,455.4337561368199
TalatBangChak,TransportOfficeArea3,489.3379791613819
TransportOfficeArea3,Punnawithi(Sukhumvit101),448.51809946032904
Punnawithi(Sukhumvit101),BusStopBTSPunnawithi(Exit3),342.21706013232966
BusStopBTSPunnawithi(Exit3),WachirathamSatit(Sukhumvit101/1),403.20782354408965
WachirathamSatit(Sukhumvit101/1),Sukhumvit101/2,427.0539595867497
Sukhumvit101/2,BusStopBTSUdomsuk(Exit1),376.7552651089091
BusStopBTSUdomsuk(Exit1),OppositeKluaynamthai2Hospital,403.2857102361
OppositeKluaynamthai2Hospital,BangnaIntersection(OutboundStop.1),474.4038868077987
BangnaIntersection(OutboundStop.1),BangNaIntersection,437.3998597997663
BangNaIntersection,OppositeositBaitekbangna,404.48549285271196
OppositeositBaitekbangna,Opposite13RianRiso,466.8501470860176
Opposite13RianRiso,SoiBangNa-Trat15,480.31894034057825
SoiBangNa-Trat15,SoiBangNa-Trat19,348.9932781637589
SoiBangNa-Trat19,CentralBangna,383.78364810430105
CentralBangna,ThainakarinHospitalBangNa-Trat27,418.1310634520649
ThainakarinHospitalBangNa-Trat27,SamnaknganKhetBangNa,368.8092468161952
SamnaknganKhetBangNa,SoiBangNa-Trat35Kormor4,435.96102238781407
SoiBangNa-Trat35Kormor4,ParklandIndexLivingMall,450.7891106879689
ParklandIndexLivingMall,BangPhliAreaRevenueOffice,375.21108563141934
BangPhliAreaRevenueOffice,NaBorisatHksThailand,359.0579689153402
NaBorisatHksThailand,OppositePiyaminHospital,389.17556014033937
OppositePiyaminHospital,MubanSantiNakhon,380.59785743140196
MubanSantiNakhon,RongrianRatWinitBangKaeo,435.07146051950195
RongrianRatWinitBangKaeo,OppositeRamkhamhaengUniversity2(Gate2),457.4695239466235
OppositeRamkhamhaengUniversity2(Gate2),RamkhamhaengCampusOppositeGate1OppositeThaiPostLtd,449.66683825983364
RamkhamhaengCampusOppositeGate1OppositeThaiPostLtd,RamKhamHang2Soi13,297.19264806617423
RamKhamHang2Soi13,BusDepot3848(Ramkhamhaeng2),364.59643511990566
