from,to,distance
VictoryMonument(DinDaengSide),OppositeSantiphapPark,391.3997980676561
OppositeSantiphapPark,OncbOffice,471.0039544134109
OncbOffice,PiboonPrachasanSchool,454.76872772107197
PiboonPrachasanSchool,RajanukulInstitute,470.32660342262795
RajanukulInstitute,OppositeFatimaCatholicChurch,357.93149613115975
OppositeFatimaCatholicChurch,KhwanPhatthanaMarket,346.87708274577307
KhwanPhatthanaMarket,SoiPopan,386.59837652699974
SoiPopan,M.C.O.T.Intersection(Rama9Soi5),319.88008164239096
M.C.O.T.Intersection(Rama9Soi5),DepartmentOfPublicWorksAndTownAndCountryPlanning,385.8964862053486
DepartmentOfPublicWorksAndTownAndCountryPlanning,MassTransitAuthorityOfThailand,476.0701747629287
MassTransitAuthorityOfThailand,OppositePiyavateHospital,367.6138087415711
OppositePiyavateHospital,VillaCafeRama8Soi19,349.01262100889244
VillaCafeRama8Soi19,Rama9Soi25,425.5078513089935
Rama9Soi25,Rama9TadMaiIntersection,449.15070193441267
Rama9TadMaiIntersection,PhraRam9Phalasa,325.2246434662857
PhraRam9Phalasa,FoodlandPerfectPlace(Ramkhamhaeng7).,408.9534830072794
FoodlandPerfectPlace(Ramkhamhaeng7).,KindergartenDivineMindTheMallRamkhamhaeng3.,321.0551778238149
KindergartenDivineMindTheMallRamkhamhaeng3.,BigCRamkhamhaeng,474.56859940868026
BigCRamkhamhaeng,WatThepleeSchoolMajorRamkhamhaeng,412.34325368583444
WatThepleeSchoolMajorRamkhamhaeng,PakSoiSoiRamKhamHang43/1,328.17267915738074
PakSoiSoiRamKhamHang43/1,SoiRamkhamhaeng59(OppositeTheStadium(Sports)),391.30582538452194
SoiRamkhamhaeng59(OppositeTheStadium(Sports)),MakPoliceStation,370.8259375334302
MakPoliceStation,AmkhamhaengSoi77OppositeOsotspaUniversity.,374.3441478865413
AmkhamhaengSoi77OppositeOsotspaUniversity.,OppositeRamkhamhaengHospital(OppositeThaiNamthipRamkhamhaeng),439.1185681395067
OppositeRamkhamhaengHospital(OppositeThaiNamthipRamkhamhaeng),SoiRamkhamhaeng83/2HotelsAnda.,416.36936305082037
SoiRamkhamhaeng83/2HotelsAnda.,HotelAlexander'S,329.09005948596223
HotelAlexander'S,LamsaleeIntersection(RamkhamhaengSoi95),336.71044664098423
LamsaleeIntersection(RamkhamhaengSoi95),BangkokCondo(SeparatedPine),379.8144367228681
BangkokCondo(SeparatedPine),BorisatAemWe,460.40348339417403
BorisatAemWe,WatSiBunRueang,386.4016058321875
WatSiBunRueang,OppositeRamkamhaeng68,372.1206670857897
OppositeRamkamhaeng68,BanMaIntersection(SoiRuamChai),381.69114298154466
BanMaIntersection(SoiRuamChai),SunISuSuRamKhamNgae,345.8713451975394
SunISuSuRamKhamNgae,RamkhamhaengSoi125,481.2560145802784
RamkhamhaengSoi125,MubanDecha2,380.8384550319085
MubanDecha2,OppositeMubanRungKit,356.4750744030546
OppositeMubanRungKit,OppositeMubanThitiPhon1,328.2446964730793
OppositeMubanThitiPhon1,RongrianSoMapha(OppositeMubanChuanChuen),375.1119289036166
RongrianSoMapha(OppositeMubanChuanChuen),HospitalMedicalKarun,333.5226803099983
HospitalMedicalKarun,OppositeMubanSammaKon,372.13933839562577
OppositeMubanSammaKon,OppositeMubanPhruetsaChat,410.4427581451998
OppositeMubanPhruetsaChat,RamkhamhaengSoi151/1,377.59881970082233
RamkhamhaengSoi151/1,OppositeMubanKetsari2,437.7218330358207
OppositeMubanKetsari2,OppositeKhlongChanWinLa4,470.7416318583788
OppositeKhlongChanWinLa4,OppositeRongrianTriamUdomNomKlao,342.01925409370796
OppositeRongrianTriamUdomNomKlao,OppositeMubanTharaRom,356.44978853784136
OppositeMubanTharaRom,OppositeKhlongChanWinLa7,469.18309434517346
OppositeKhlongChanWinLa7,OppositeMubanPreecha2,341.9199457838161
OppositeMubanPreecha2,OppositeBorisatMitThin,418.4709653180335
OppositeBorisatMitThin,OppositeRamkhamhaengSoi162,379.45298080957934
OppositeRamkhamhaengSoi162,OppositeMubanTharaKon,451.5460120176399
OppositeMubanTharaKon,OppositeKromsanphakonPhuenthi11,416.41958636863893
OppositeKromsanphakonPhuenthi11,OppositeThepAksornSchool,337.1449579140862
OppositeThepAksornSchool,RamKhamNgaeSoi189,444.7753332750855
RamKhamNgaeSoi189,OppositeMubanRinThong,381.03169936982664
OppositeMubanRinThong,Big-CSukhaphiban3,488.2970519666935
Big-CSukhaphiban3,KhehaRamKhamNgae,406.46556243578823
KhehaRamKhamNgae,OppositeMubanRungNapha2,330.5501042468856
OppositeMubanRungNapha2,OppositeMinburiPoliceStation,376.9229658199887
OppositeMinburiPoliceStation,SatriSethabutBamphenSchool,341.2247846167587
SatriSethabutBamphenSchool,RamaIxCommemorationParkMinburi,496.249410886522
RamaIxCommemorationParkMinburi,Chatuchak2MarketMinburi,392.90621816770505
Chatuchak2MarketMinburi,Navamin9Hospital,425.54047791082616
Navamin9Hospital,MinBuriIntersection(OppositeSoiTakhian),398.4095238452553
MinBuriIntersection(OppositeSoiTakhian),Ramintra90,369.2644070521491
Ramintra90,OppositeSetthabutBamphenSchool,441.3397019463661
OppositeSetthabutBamphenSchool,Ramintra86,417.6182000304084
Ramintra86,Ramintra84,457.14759719526296
Ramintra84,MomchaoSangangam,418.1967954674531
MomchaoSangangam,OppositeRamintra115,472.835939328044
OppositeRamintra115,OppositePhrayaSuren,328.9704813833011
OppositePhrayaSuren,MubanRangsiYa,405.2768226420594
MubanRangsiYa,TechnoThaiSuriya,448.87862825601326
TechnoThaiSuriya,AMoRiNiSuanSayamSoi4,327.1655105393623
AMoRiNiSuanSayamSoi4,Suansiam,450.3047600608767
Suansiam,OppositeSuanSayamSoi14(MubanKaoSaen),369.4513814001872
OppositeSuanSayamSoi14(MubanKaoSaen),SiamPark,412.5613641902327
SiamPark,SiamParkBusDepot,455.49283142227137
