from,to,distance
PriestHospitalBusTerminal,OppositeSantiratWitthayalaiSchool,419.10090117360323
OppositeSantiratWitthayalaiSchool,RatchathewiDistrictOffice,610.9987021888552
RatchathewiDistrictOffice,ArmyMedicalDepartment,569.4365297165789
ArmyMedicalDepartment,VictoryMonument(DinDaengSide),541.7610553991229
VictoryMonument(DinDaengSide),OppositeSantiphapPark,477.1087349684982
OppositeSantiphapPark,OncbOffice,439.46433610702803
OncbOffice,ItSquare,421.8761859901229
ItSquare,WatLaksi,492.74124089064884
WatLaksi,TungsonghongHousing,587.6459045935123
TungsonghongHousing,OilCargo,471.90813141886446
OilCargo,DonMuangDistrictOffice,574.0476445148183
DonMuangDistrictOffice,DonMueangNewMarket,439.88281001296826
DonMueangNewMarket,WatDonMueang,623.1794072624815
WatDonMueang,FaiChangDonMueang,466.48745491401974
FaiChangDonMueang,DonmuangThaharnagardbumroongSchoolPoliceStationDonmuang,455.9125063289602
DonmuangThaharnagardbumroongSchoolPoliceStationDonmuang,ThaninthonVillageWiphawadiRangSit35,572.3732023644488
ThaninthonVillageWiphawadiRangSit35,MubanYuCharoen,540.6602710926169
MubanYuCharoen,WipawadeeRangsit39YingohranVillage,510.6795551910136
WipawadeeRangsit39YingohranVillage,PaholyothinSchool,619.2243975989355
PaholyothinSchool,WangthongHouse,452.94264028109836
WangthongHouse,RongrianSangkhit,466.9382212137293
RongrianSangkhit,BigCOppositeZeerRangsit,562.0713516818571
BigCOppositeZeerRangsit,SrimummuangMarket,613.9368866528948
SrimummuangMarket,WatPrayoonSivaleeVillage,584.9897241115308
WatPrayoonSivaleeVillage,RangsitUniversity,472.7882424902912
RangsitUniversity,MakroRangsit,555.1688503191539
MakroRangsit,Rangsit-Nakhonnayok5,602.0223972114412
Rangsit-Nakhonnayok5,Rangsit-Nakhonnayok15,579.8148918388569
Rangsit-Nakhonnayok15,Rangsit-Nakhonnayok21,605.0539983188598
Rangsit-Nakhonnayok21,Rangsit-Nakhonnayok27,513.7668825755908
Rangsit-Nakhonnayok27,Rangsit-Nakhonnayok33,535.5205583105022
Rangsit-Nakhonnayok33,Rangsit-Nakhonnayok45,420.60806401920155
Rangsit-Nakhonnayok45,Rangsit-Nakhonnayok57,457.74217527899805
Rangsit-Nakhonnayok57,MubanPhatsorn,621.2454149922654
MubanPhatsorn,OppositeBuengyithoTambonAdministration,541.7635144507337
OppositeBuengyithoTambonAdministration,Thaisuzuki.Co.Th,437.7319645940305
Thaisuzuki.Co.Th,WatKhianKet,501.924194405129
WatKhianKet,LotusRangSit-NakhonNayok,505.7775636834112
LotusRangSit-NakhonNayok,Klong4(Outbound),584.8345928159247
Klong4(Outbound),TanyaKlong4AnimalHospital,549.3725334235643
TanyaKlong4AnimalHospital,MubanPraemaporn,417.88325037853923
MubanPraemaporn,WatMoolJindaram,523.6870120286644
WatMoolJindaram,MubanKhlong5,494.20421931158245
MubanKhlong5,OppositeEasternAsiaUniversity,508.8652272354176
OppositeEasternAsiaUniversity,ThanyaburiHospital,540.2032554942211
ThanyaburiHospital,RajamangalaUniversityOfTechnologyThanyaburi(Outbound),486.7452636310175
