from,to,distance
RatchaWoraditBusTerminal(123),RatchaWoraditPier,669.4455121003176
RatchaWoraditPier,ThaChang,663.8122769294077
ThaChang,Sanamluang(OppositeWatPhraKaew),643.048935241572
Sanamluang(OppositeWatPhraKaew),Sanamluang(OppositeSupremeCourt)Stop.1,828.9074929614703
Sanamluang(OppositeSupremeCourt)Stop.1,Sanamluang(OppositeSupremeCourt)Stop.2,841.1831784587872
Sanamluang(OppositeSupremeCourt)Stop.2,PhraPinklaoBridge(Outbound),571.0371009787183
PhraPinklaoBridge(Outbound),OppositePataPinklao,756.7096077184456
OppositePataPinklao,SeparateBoromarajonani,795.1159849046603
SeparateBoromarajonani,ThanonBoromRatChonnani,639.4155340116013
ThanonBoromRatChonnani,CentralPinklao,778.8873925809835
CentralPinklao,LumpiniCondoPinklao,588.9287729029259
LumpiniCondoPinklao,ChaophyaHospital,707.8376070087418
ChaophyaHospital,BefPinklaoBusTerminal,675.9670773087829
BefPinklaoBusTerminal,SoiBorommaratchachonnani35,734.6547106493936
SoiBorommaratchachonnani35,SoiBorommaratchachonnani45,813.966783938963
SoiBorommaratchachonnani45,CedarMansion,846.6564539854521
CedarMansion,TalingchanPoliceStation,790.1683450160862
TalingchanPoliceStation,Ratchapreuk-BorommaratchachonnaniIntersectionStop1,625.8338789963645
Ratchapreuk-BorommaratchachonnaniIntersectionStop1,TheDusitMunicipalityCourt,686.2130933852826
TheDusitMunicipalityCourt,TalingchanPublicProsecutionOffice,689.0981276377184
TalingchanPublicProsecutionOffice,OppositeThanonChimphli,706.1686411558342
OppositeThanonChimphli,PaimrakVillage,587.8942566052737
PaimrakVillage,SouthernBusTerminal(Talingchan),732.8244971895245
SouthernBusTerminal(Talingchan),SoiBorommaratchachonnani91,692.7899079688093
SoiBorommaratchachonnani91,ThonburiHospital2,705.9531821751577
ThonburiHospital2,OppositeMetropolitanPoliceDivision7,728.2194130038221
OppositeMetropolitanPoliceDivision7,MubanPhetPhloi,681.1573749459101
MubanPhetPhloi,MubanKopKaeo,799.6010920886224
MubanKopKaeo,MubanMahaMongkhon,650.653973202374
MubanMahaMongkhon,MubanThiRaKhon,634.9328359232825
MubanThiRaKhon,SoiSukhaphibanBangKhae,663.9319106081487
SoiSukhaphibanBangKhae,Sai2Market,776.975462037408
Sai2Market,PhuttaraksaVillage,772.919084547963
PhuttaraksaVillage,OppositePhetkasem2Village,664.2855700837129
OppositePhetkasem2Village,Phetkasem-Sai2Junction(Outbd),770.4378663604399
Phetkasem-Sai2Junction(Outbd),AmnuaysilpaDhonburiSchool,810.4259352883411
AmnuaysilpaDhonburiSchool,WatMuang,830.2398369728326
WatMuang,LaksongNiwetVillage,738.4754435383218
LaksongNiwetVillage,SamnakPoosawan,761.662206689883
SamnakPoosawan,BigcPhetkasem(Laksong),592.8026426417188
BigcPhetkasem(Laksong),SoiPhetkasem67,817.5857347140666
SoiPhetkasem67,OppositeSetthakitVillage,742.4808768394162
OppositeSetthakitVillage,Phetkasem69,636.3671043070606
Phetkasem69,NanYangTextileIndustry,775.2315780352524
NanYangTextileIndustry,SoiPhetkasem73/2,586.0365995557484
SoiPhetkasem73/2,TalatPhetKasem,838.6651901031221
TalatPhetKasem,SoiPhetKasem77,651.8912859982298
SoiPhetKasem77,SoiPhetKasem77/7,811.1033593041409
SoiPhetKasem77/7,SoiPhetKasem81,563.267801006269
SoiPhetKasem81,NongKhaemMarket,676.3766765759024
NongKhaemMarket,MubanHansa,700.6842578085952
MubanHansa,SoiPhetKasem83,589.8200086043757
SoiPhetKasem83,OppositeWatSiSamranRatbamrung,816.2299427570464
OppositeWatSiSamranRatbamrung,OppositePhetkasemSoi120,580.7670455898271
OppositePhetkasemSoi120,ThanakhanThaiphanitSakhaOmNoi,721.4842974348344
ThanakhanThaiphanitSakhaOmNoi,SathaniTamruatDapphloengOmNoi,784.8870701211403
SathaniTamruatDapphloengOmNoi,SoiLand,557.9340080063994
SoiLand,OppositePhetkasem126,783.5819594723649
OppositePhetkasem126,OmNoi,642.7018123788067
OmNoi,RongrianSophonChanupThamSchool,616.4866421667625
RongrianSophonChanupThamSchool,SoiPhetKasem97,702.1319108373515
SoiPhetKasem97,SoiAkkharaPhat,645.4336193628243
SoiAkkharaPhat,MubanSamPhranTessabanSoi3,787.5927135206485
MubanSamPhranTessabanSoi3,ThessabanSoi9,583.6889383887121
ThessabanSoi9,MubanNisachonOrmYaiSoiThetsaban11,726.8148485744109
MubanNisachonOrmYaiSoiThetsaban11,SoiWatOrmYai,698.0484413334478
SoiWatOrmYai,YaekWatThiendad[A],632.4438376685116
YaekWatThiendad[A],OppositeJosephUpathamSchool,921.5824822600625
OppositeJosephUpathamSchool,SamphranZoo,705.0642430959541
