from,to,distance
LumphiniPark(RatchadamriSideStop.2),LumphiniPark,350.4030238864421
LumphiniPark,SathonSoi1,354.7564769237188
SathonSoi1,RoroSukhothai,323.1061813285748
RoroSukhothai,EmbassyOfAustralia,298.67887473812294
EmbassyOfAustralia,SathornCityTower,308.83685558610796
SathornCityTower,YakaeNarinthonBangrakHospital,357.58544152359656
YakaeNarinthonBangrakHospital,SaintLouisHospital,310.89564510047296
SaintLouisHospital,ThaiCc,369.28398212821395
ThaiCc,SoiRongNamkhaeng,345.74351719472367
SoiRongNamkhaeng,OppositeWatYanNawa,282.7196305291997
OppositeWatYanNawa,RajamagalaUniversityOfTechnologyKrungthep(SouthBangkokCampus),284.58247096354603
RajamagalaUniversityOfTechnologyKrungthep(SouthBangkokCampus),OppositeWatSutthi,355.5498132021754
OppositeWatSutthi,OppositeSaphanpla,284.07866786990985
OppositeSaphanpla,TrokBaYan,353.9430046500091
TrokBaYan,BorisatEchiaTik(Outbound),334.2357245422006
BorisatEchiaTik(Outbound),OppositeRongraemMaenam,366.6943584267358
OppositeRongraemMaenam,WatRatSingkhonOpposite,306.801895250215
WatRatSingkhonOpposite,CharoenKrung93,381.7607849258829
CharoenKrung93,WatprayakaiPoliceStation,349.90618982855244
WatprayakaiPoliceStation,OppositeWatLatBuaKhao,314.3521120866236
OppositeWatLatBuaKhao,SermpanyaHospital,281.5997437980217
SermpanyaHospital,TalatBangkholaem,327.65764517666383
TalatBangkholaem,ChoengSaphanKrungthep,334.3718957987619
ChoengSaphanKrungthep,SoiCharoenNakhon61,270.489032767269
SoiCharoenNakhon61,SoiCharoenNakhon63,373.5954252010356
SoiCharoenNakhon63,SoiCharoenNakhon65,287.1834935552062
SoiCharoenNakhon65,SoiRatBuranaSoi11,319.3107310665676
SoiRatBuranaSoi11,GoodInnHotel,352.55700603094056
GoodInnHotel,PamNammanSayamSahaBorikanChamkat(Mahachon),332.1181598532273
PamNammanSayamSahaBorikanChamkat(Mahachon),NaBorisatKrungthepKhlangEkkasanChamkat,378.38161126913076
NaBorisatKrungthepKhlangEkkasanChamkat,BigCRatburana,297.60833360600043
BigCRatburana,SoiRatburana18,315.0460316471381
SoiRatburana18,RatburanaMarket,338.26542035666665
RatburanaMarket,WatPrasetSutthawart,361.46419537516545
WatPrasetSutthawart,OppositeRatburanaHospital,353.97495823242133
OppositeRatburanaHospital,RatburanaIntersectionSuksawat,317.37222984143125
RatburanaIntersectionSuksawat,OppositeBangpakokMarket,278.0543628540887
OppositeBangpakokMarket,SukSawatSoi34,371.6823052337897
SukSawatSoi34,SuksawatSoi30,319.1155138199649
SuksawatSoi30,OppositeWatBangPaKok,322.72718369154126
OppositeWatBangPaKok,OppositeBigCBangPrakok,290.495353820464
OppositeBigCBangPrakok,WatPhoThong,320.5891413936852
WatPhoThong,SoiNguhaoKiaSoewit,302.73918094316775
SoiNguhaoKiaSoewit,SamnaknganKhetChomthong,352.94840172559503
SamnaknganKhetChomthong,TalatOE,305.44792015290255
TalatOE,PhraRam2Soi21,366.4096741367292
PhraRam2Soi21,Watputtabucha,245.86129106714134
Watputtabucha,OppositeChanPhring,356.1541268793972
OppositeChanPhring,KanPrapaWatYaiRom,303.81343458511907
KanPrapaWatYaiRom,ShishaVillage,268.9692195555033
ShishaVillage,MubanWichitNakhon,319.1765537629626
MubanWichitNakhon,SathaniTamruatBangMot,286.4879722269278
SathaniTamruatBangMot,OppositeWatKok,321.65462798151964
OppositeWatKok,WatLao,366.7189801453593
WatLao,OppositeTheSnakeGoddess,303.6770387808577
OppositeTheSnakeGoddess,HomeproRama2,319.9019665516628
HomeproRama2,BigcRama2,272.94374594347255
BigcRama2,BangKhunThianDistrictOffice,362.7125295027539
BangKhunThianDistrictOffice,HuaKrabue,286.30235656879887
HuaKrabue,KhehaKanFaifa,273.6881510458331
KhehaKanFaifa,ThonburiHousing(TescoLotusRamaIi),333.8853514651638
ThonburiHousing(TescoLotusRamaIi),OppositeSakaeNgam,272.9330519049275
