from,to,distance
Rama9BusDepot,BmtaHeadquarter,489.68570228505575
BmtaHeadquarter,OppositeTriamudomRatchadaSchool,537.8711068331281
OppositeTriamudomRatchadaSchool,TheEmeraldHotel,489.2409084200994
TheEmeraldHotel,HuayKhwangFireStationSatharanasuk52,573.4857067604468
HuayKhwangFireStationSatharanasuk52,TalatHuaiKhwangLangRongrienSamSenNok,523.0718797782233
TalatHuaiKhwangLangRongrienSamSenNok,ThanakhanKrungthaiSakhaHuaiKhwang,612.0854420577731
ThanakhanKrungthaiSakhaHuaiKhwang,HoNalikaHuaiKhwang,567.8170458918635
HoNalikaHuaiKhwang,OppositeTvcCondominium,466.11082652972647
OppositeTvcCondominium,OppositeWatPhromWongSaram,520.2949899322768
OppositeWatPhromWongSaram,DdTower,605.0819635676507
DdTower,PrachaSongkhro16-18,436.50615035761
PrachaSongkhro16-18,Prompan,543.666691750369
Prompan,OppositeHealthCenter4,578.4612152728631
OppositeHealthCenter4,OppositeWichutitSchool,545.0398948630444
OppositeWichutitSchool,OppositeDindaengMarket,413.85699299448737
OppositeDindaengMarket,OppositeDindaengHousingOffice,576.9384943734921
OppositeDindaengHousingOffice,PrachaSongkhro2,584.0633857950436
PrachaSongkhro2,DindaengHousing(Stop.1),556.5089226936426
DindaengHousing(Stop.1),DindaengHousing(Stop.2),479.15240844122917
DindaengHousing(Stop.2),OppositePiboonPrachasanSchool,412.5779348060602
OppositePiboonPrachasanSchool,SriwanitMarket,477.77900020816367
SriwanitMarket,SantiphapPark,406.36433618399906
SantiphapPark,VictoryMonument(PhayaThaiSide),412.8920471251075
VictoryMonument(PhayaThaiSide),Century,518.9473593572584
Century,WannasornTower,604.9153029909335
WannasornTower,BusStopBTS-ArlPhayaThai,577.3036110298996
BusStopBTS-ArlPhayaThai,DepartmentOfLivestockDevelopment,408.8918717033398
DepartmentOfLivestockDevelopment,BusStopBTSRatchathewi(Exit2),435.2465952438146
BusStopBTSRatchathewi(Exit2),OppositeMbkCenter,602.7559488657421
OppositeMbkCenter,TriamUdomSuksaSchool,523.7596204761658
TriamUdomSuksaSchool,Chulalongkorn(TheEquestrianStatue),443.9186983823786
Chulalongkorn(TheEquestrianStatue),Chulalongkorn(FacultyOfScience),457.50159594548853
Chulalongkorn(FacultyOfScience),Chulalongkorn(FacultyOfCommerceAndAccountancy),617.0175845633687
Chulalongkorn(FacultyOfCommerceAndAccountancy),MitThaePrakanphai,477.44614791702736
MitThaePrakanphai,SonoBangRak,567.7562497554234
SonoBangRak,OngkanThorasap,489.18047749871016
OngkanThorasap,Mahesak,566.6615763475961
Mahesak,ArkanKieatNakin,520.7274301028247
ArkanKieatNakin,SiPhrayaPier,342.6519687276852
