from,to,distance
RongrianRattanakosinSomphotBowonniwetSalaYa,Sai5Intersection(SalayaHospital),529.7244012897834
Sai5Intersection(SalayaHospital),OppositeNavalEducationDepartment,428.274145698701
OppositeNavalEducationDepartment,OppositeMahidolWittayanusornSchool,457.2227357472549
OppositeMahidolWittayanusornSchool,PhuttamontonDistrictOffice,463.2662035072634
PhuttamontonDistrictOffice,SalayaRailwayStation,526.5326917449636
SalayaRailwayStation,HuaSengHong,438.5073033674718
HuaSengHong,OppositeMahidolUniversity(Salaya)Pratu4,521.6085865411086
OppositeMahidolUniversity(Salaya)Pratu4,MahidolUniversity(Salaya),517.3276334713444
MahidolUniversity(Salaya),OppositeTalatPhut,564.8395293292915
OppositeTalatPhut,SakulthipVillage,413.68708684469834
SakulthipVillage,BorommaratchachonnaniSoi80,470.3524651086728
BorommaratchachonnaniSoi80,OppositeSukThawi,457.64271452210005
OppositeSukThawi,SoiBorommaratchachonnani78,577.0069936172465
SoiBorommaratchachonnani78,PloyKaewKindergarten,447.68235653839423
PloyKaewKindergarten,MubanPatChotRapMubanWaNa,406.00119800843305
MubanPatChotRapMubanWaNa,PhutthamonthonSai3-Borommratchachonnani(Inbound),417.9589967389344
PhutthamonthonSai3-Borommratchachonnani(Inbound),MubanAmonChai3,562.0140543528582
MubanAmonChai3,BorommratchachonnaniRoadSoi70/1,587.503293021779
BorommratchachonnaniRoadSoi70/1,PhraPin2Village,567.6891857614307
PhraPin2Village,MubanPhraPin2,510.9637445423671
MubanPhraPin2,OppositeMubanKritSadaNakhon20,547.4356277534994
OppositeMubanKritSadaNakhon20,TheCityVillage,544.4677812254853
TheCityVillage,KhuKhananLoifaPoliceStation,488.39581118690364
KhuKhananLoifaPoliceStation,KongBangkhapkanTamruatnakhonban7,422.59549074293045
KongBangkhapkanTamruatnakhonban7,OppositeThonburiHospital2,511.593836163422
OppositeThonburiHospital2,MubanKhemaRat,448.3246027725779
MubanKhemaRat,OppositePanuStreetAssawaphisitChet.,437.6834058865845
OppositePanuStreetAssawaphisitChet.,Co.P.CeramicsCo.Ltd.SplitFieldsDragons(Boromarajonani60).,433.58407205924726
Co.P.CeramicsCo.Ltd.SplitFieldsDragons(Boromarajonani60).,OppositeSouthernBusTerminal(Talingchan),522.0647256825849
OppositeSouthernBusTerminal(Talingchan),WatMakok,564.5481638730889
WatMakok,ThanonChimPhli,413.7365240685202
ThanonChimPhli,Borommaratchachonnani52,463.07348017736535
Borommaratchachonnani52,OppositeTheDusitMunicipalityCourt,497.3111908623466
OppositeTheDusitMunicipalityCourt,SoiBorommaratchachonnani46,429.84803338423137
SoiBorommaratchachonnani46,SoiChimpee2,535.6291878118202
SoiChimpee2,BenzTalingchan,461.27764236313556
BenzTalingchan,SeriGolf,561.0981002620931
SeriGolf,SoiBorommaratchachonnani22,457.3658343321388
SoiBorommaratchachonnani22,Borommaratchachonnani12,593.2018159520569
Borommaratchachonnani12,ChaophrayaHospital,495.93222749673015
ChaophrayaHospital,MinistryOfCulture,500.8391227392557
MinistryOfCulture,LumpiniParkPinklao,480.2726971129423
LumpiniParkPinklao,MajorPinklao,467.04683281962167
MajorPinklao,TescoLotusPinKlao,562.824722658762
TescoLotusPinKlao,PataPinklao,521.0636738587499
PataPinklao,PhraPinklaoBridge(Inbound),515.3082808955521
PhraPinklaoBridge(Inbound),KongSalak,459.81875892568024
KongSalak,KhokWuaIntersection,519.4260994393803
KhokWuaIntersection,DemocracyMonument(Suksapan),385.9010719184706
DemocracyMonument(Suksapan),DemocracyMonument(OppositeSuksapan),396.76579438240105
DemocracyMonument(OppositeSuksapan),KhokWuaIntersectionOppositeLottery,587.7737049996712
KhokWuaIntersectionOppositeLottery,OppositeKongSalak,504.82304846893265
OppositeKongSalak,Sanamluang(SupremeCourt),460.01802110152306
Sanamluang(SupremeCourt),WatPhraKaew(ThaChangPier),577.1192975275732
WatPhraKaew(ThaChangPier),MaharajPier,424.2513225352636
MaharajPier,PhraChanPier(OppositeWatMahathat),402.9525892260815
PhraChanPier(OppositeWatMahathat),Sanamluang(ThammasatU.),538.8220875792736
