from,to,distance
WatRatchabopitSchool,PhraPhiphit,300.4306481016137
PhraPhiphit,BanMo,433.5325411138995
BanMo,WatSuthatWijitpanich,391.7669924483142
WatSuthatWijitpanich,OppositeSalaWaKanKrungthepmahanakhon,335.2961507835045
OppositeSalaWaKanKrungthepmahanakhon,SatriwittayaSchool,403.6277204516169
SatriwittayaSchool,WatTrithotThep,425.2746870929118
WatTrithotThep,OppositeRoyalThaiArmyHeadquarters,371.56594533969223
OppositeRoyalThaiArmyHeadquarters,OppositeWatMakutkasat,373.2655381500878
OppositeWatMakutkasat,KhuruSapha,417.761964037213
KhuruSapha,HorPrachumThupbok,329.4159627453302
HorPrachumThupbok,DepartmentOfDisasterPreventionAndMitigation,436.9915818889094
DepartmentOfDisasterPreventionAndMitigation,RajchapatSuandusit,404.9634770615091
RajchapatSuandusit,SoiSuanOi,433.0178374829952
SoiSuanOi,PhakChatthai,421.78472862731905
PhakChatthai,SaphaSatriHaengPrathetThai,330.86354588818125
SaphaSatriHaengPrathetThai,SamnaknganKhetDusit,344.9757544767232
SamnaknganKhetDusit,PhakChatphatthanaThanonSukhothai,401.6734786809624
PhakChatphatthanaThanonSukhothai,OppositeSukhothaiSoi5,376.3305384479003
OppositeSukhothaiSoi5,OppositeSukhothaiSoi1,355.8434884581822
OppositeSukhothaiSoi1,YaekSawankhalok(Inbd),366.12637313749656
YaekSawankhalok(Inbd),RajvithiHome,364.77343390721535
RajvithiHome,PhramongkutklaoCollegeOfMedicine,304.2951583217102
PhramongkutklaoCollegeOfMedicine,PhayathaiPalace,396.7158941476136
PhayathaiPalace,PhramongkutklaoHospital,325.9993162393914
PhramongkutklaoHospital,VictoryMonument(DinDaengSide),315.61129547301596
VictoryMonument(DinDaengSide),OppositeSantiphapPark,346.7435957133665
OppositeSantiphapPark,OncbOffice,318.63906668970515
OncbOffice,PiboonPrachasanSchool,426.5721468479659
PiboonPrachasanSchool,RajanukulInstitute,337.17147122793125
RajanukulInstitute,PrachaSongkhroIntersection,365.23603503828906
PrachaSongkhroIntersection,PrachaSongkhro1,428.68123266020217
PrachaSongkhro1,DindaengHousingOffice,321.3896460317787
DindaengHousingOffice,DindaengMarket,365.92676588176585
DindaengMarket,WichutitSchool,358.6866352263736
WichutitSchool,HealthCenter4,412.33821372551694
HealthCenter4,PrompanSchool,360.74588816935943
PrompanSchool,PrachaSongkhro21,421.38328657173895
PrachaSongkhro21,PrachaSongkhro23,364.764030263285
PrachaSongkhro23,WatPhromWongSaram,310.67239001011075
WatPhromWongSaram,TvcCondominium,378.84270807152893
TvcCondominium,EnemyAmnuayvidSxhool,354.12615366622236
EnemyAmnuayvidSxhool,HoNalikaHuaiKhwangDaycareCenter,372.0859243103451
HoNalikaHuaiKhwangDaycareCenter,OppositeTalatsotHuaiKhwang,372.67117671477956
